site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
albufera-valencia,2017-07-10,2,S2B_30SYJ_20170710_0_L2A;S2B_31SBD_20170710_0_L2A,1.0,0.0046,0.9954,0.0433,-0.043,otsu,0.602,0.05,27537.6,9134.2,0.3332,114.1,9156.9,7315.0,-0.2349,0.0888,0.3362,0.255,ok,2026-09-03T07:33:14+00:00
albufera-valencia,2017-07-15,3,S2A_30SYJ_20170715_0_L2A;S2A_30SYJ_20170715_1_L2A;S2A_31SBD_20170715_0_L2A,1.0,0.0071,0.9929,0.0551,-0.1055,otsu,0.518,0.1104,27537.6,9077.4,0.332,166.3,9076.2,45.4,-0.1291,0.0674,0.1997,0.0979,ok,2026-09-03T07:33:14+00:00
albufera-valencia,2017-07-20,3,S2B_30SYJ_20170720_0_L2A;S2B_31SBD_20170720_0_L2A;S2B_31SBD_20170720_1_L2A,1.0,0.1373,0.8627,0.0618,-0.0508,otsu,0.589,0.1037,27537.6,6423.2,0.2704,138.7,6454.6,541.4,-0.1587,0.0768,0.1994,0.0955,ok,2026-09-03T07:33:14+00:00
albufera-valencia,2017-07-25,2,S2A_30SYJ_20170725_0_L2A;S2A_31SBD_20170725_0_L2A,1.0,0.0068,0.9932,0.0411,-0.1445,otsu,0.347,0.0333,27537.6,9122.9,0.3336,120.1,9112.0,133.4,-0.14,0.0586,0.1872,0.0555,ok,2026-09-03T07:33:14+00:00
albufera-valencia,2017-07-30,2,S2B_30SYJ_20170730_0_L2A;S2B_31SBD_20170730_0_L2A,1.0,0.0074,0.9926,0.0447,-0.1055,otsu,0.4,0.041,27537.6,9103.6,0.333,106.5,9099.3,995.8,-0.1611,0.0514,0.182,0.0416,ok,2026-09-03T07:33:14+00:00
albufera-valencia,2017-08-14,1,S2A_30SYJ_20170814_0_L2A,1.0,0.1055,0.8945,0.0507,0.0586,otsu,0.466,0.0514,27537.6,8806.6,0.3575,51.7,8837.8,8056.6,-0.2719,0.0459,0.1831,0.0312,ok,2026-09-03T07:33:14+00:00
albufera-valencia,2017-08-19,2,S2B_30SYJ_20170819_0_L2A;S2B_31SBD_20170819_0_L2A,1.0,0.2266,0.7734,0.0652,0.0039,otsu,0.653,0.0621,27537.6,7801.0,0.3663,108.6,7823.6,4726.2,-0.1774,0.0415,0.1443,0.0101,nublado,2026-09-03T07:33:14+00:00
albufera-valencia,2017-09-08,2,S2B_30SYJ_20170908_0_L2A;S2B_31SBD_20170908_0_L2A,1.0,0.1949,0.8051,0.0956,0.2227,otsu,0.544,0.0838,27537.6,8320.3,0.3753,412.0,8513.7,8200.6,-0.1884,0.035,0.1325,0.0014,ok,2026-09-03T07:33:14+00:00
albufera-valencia,2017-09-28,2,S2B_30SYJ_20170928_0_L2A;S2B_31SBD_20170928_0_L2A,1.0,0.3594,0.6406,0.07,0.1602,otsu,0.325,0.0609,27537.6,7527.1,0.4267,22.0,7643.9,7261.7,-0.3198,0.0038,0.2094,0.1101,nublado,2026-09-03T07:33:14+00:00
albufera-valencia,2017-10-08,2,S2B_30SYJ_20171008_0_L2A;S2B_31SBD_20171008_0_L2A,1.0,0.0076,0.9924,0.0612,0.1836,otsu,0.144,0.0343,27537.6,9259.8,0.3388,39.6,9254.8,9185.4,-0.4623,0.0424,0.456,0.2533,ok,2026-09-03T07:33:14+00:00
albufera-valencia,2017-10-28,2,S2B_30SYJ_20171028_0_L2A;S2B_31SBD_20171028_0_L2A,1.0,0.0349,0.9651,0.0522,0.168,otsu,0.208,0.0309,27537.6,10674.8,0.4017,127.9,10365.0,10412.2,-0.3885,0.0739,0.4298,0.2795,ok,2026-09-03T07:33:14+00:00
albufera-valencia,2017-11-07,2,S2B_30SYJ_20171107_0_L2A;S2B_31SBD_20171107_0_L2A,1.0,0.0256,0.9744,0.0379,0.2461,otsu,0.083,0.0269,27537.6,11866.6,0.4422,205.2,11632.1,12046.5,-0.4807,-0.1866,0.4929,0.278,ok,2026-09-03T07:33:14+00:00
albufera-valencia,2017-11-17,2,S2B_30SYJ_20171117_0_L2A;S2B_31SBD_20171117_0_L2A,1.0,0.0965,0.9035,0.0604,0.1992,otsu,0.322,0.0365,27537.6,12448.4,0.5003,181.7,12239.4,12136.5,-0.3309,0.0439,0.4089,0.2373,ok,2026-09-03T07:33:53+00:00
albufera-valencia,2017-11-27,2,S2B_30SYJ_20171127_0_L2A;S2B_31SBD_20171127_0_L2A,1.0,0.4028,0.5972,0.0481,0.0273,otsu,0.455,0.0319,27537.6,8453.0,0.514,263.3,8628.6,7451.8,-0.3289,-0.0146,0.2914,0.2262,nublado,2026-09-03T07:33:53+00:00
albufera-valencia,2017-12-07,2,S2B_30SYJ_20171207_0_L2A;S2B_31SBD_20171207_0_L2A,1.0,0.5234,0.4766,0.0616,0.082,otsu,0.519,0.0465,27537.6,6497.0,0.495,90.2,6398.3,6262.8,-0.2975,-0.0661,0.1196,0.0187,nublado,2026-09-03T07:33:53+00:00
albufera-valencia,2017-12-17,2,S2B_30SYJ_20171217_0_L2A;S2B_31SBD_20171217_0_L2A,1.0,0.0393,0.9607,0.0313,0.2617,otsu,0.14,0.0238,27537.6,13444.6,0.5082,416.2,13503.5,14299.5,-0.5204,-0.1053,0.4189,0.3248,ok,2026-09-03T07:33:53+00:00
albufera-valencia,2018-02-25,2,S2B_30SYJ_20180225_0_L2A;S2B_31SBD_20180225_0_L2A,1.0,0.0049,0.9951,0.072,0.2773,otsu,0.146,0.0455,27537.6,10514.8,0.3837,217.6,10331.6,11500.0,-0.3923,-0.003,0.2777,0.2142,ok,2026-09-03T07:33:53+00:00
albufera-valencia,2018-03-27,4,S2B_30SYJ_20180327_0_L2A;S2B_30SYJ_20180327_1_L2A;S2B_31SBD_20180327_0_L2A;S2B_31SBD_20180327_1_L2A,1.0,0.0042,0.9958,0.078,0.1914,otsu,0.156,0.0303,27537.6,9157.9,0.3339,23.3,9203.1,9072.7,-0.4766,0.0108,0.3081,0.2592,ok,2026-09-03T07:33:53+00:00
albufera-valencia,2018-04-16,2,S2B_30SYJ_20180416_0_L2A;S2B_31SBD_20180416_0_L2A,1.0,0.9952,0.0048,0.156,0.1836,otsu,0.871,0.1646,27537.6,57.9,0.4409,1.2,130.6,66.2,-0.0797,-0.0033,0.016,0.0,nublado,2026-09-03T07:33:53+00:00
albufera-valencia,2018-04-26,2,S2B_30SYJ_20180426_0_L2A;S2B_31SBD_20180426_0_L2A,1.0,0.3875,0.6125,0.1101,0.0195,otsu,0.579,0.0607,27537.6,6783.5,0.4022,41.0,7043.0,1630.8,-0.1638,0.0953,0.2977,0.3056,nublado,2026-09-03T07:33:53+00:00
albufera-valencia,2018-05-01,2,S2A_30SYJ_20180501_0_L2A;S2A_31SBD_20180501_0_L2A,1.0,0.0098,0.9902,0.0995,0.0273,otsu,0.624,0.0371,27537.6,9059.1,0.3322,105.5,9110.2,8947.6,-0.2554,0.094,0.4205,0.256,ok,2026-09-03T07:33:53+00:00
albufera-valencia,2018-05-06,2,S2B_30SYJ_20180506_0_L2A;S2B_31SBD_20180506_0_L2A,1.0,0.2704,0.7296,0.1309,0.0664,otsu,0.52,0.0494,27537.6,3895.3,0.1939,200.1,5077.0,2688.9,-0.2425,0.1824,0.4093,0.4838,nublado,2026-09-03T07:33:53+00:00
albufera-valencia,2018-05-11,2,S2A_30SYJ_20180511_0_L2A;S2A_31SBD_20180511_0_L2A,1.0,0.0072,0.9928,0.1015,0.0117,otsu,0.595,0.0545,27537.6,9742.8,0.3563,358.5,9265.4,6207.6,-0.2099,0.101,0.3987,0.2467,ok,2026-09-03T07:33:53+00:00
albufera-valencia,2018-05-16,2,S2B_30SYJ_20180516_0_L2A;S2B_31SBD_20180516_0_L2A,1.0,0.4095,0.5905,0.0584,0.0742,otsu,0.537,0.0453,27537.6,8412.1,0.5173,1218.8,6596.4,6889.0,-0.2033,0.0322,0.1837,0.0816,nublado,2026-09-03T07:33:53+00:00
albufera-valencia,2018-05-21,2,S2A_30SYJ_20180521_0_L2A;S2A_31SBD_20180521_0_L2A,1.0,0.0221,0.9779,0.0578,0.0898,otsu,0.772,0.0431,27537.6,12564.5,0.4666,5507.4,10445.8,3835.8,-0.1135,0.1383,0.3793,0.3007,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-05-26,2,S2B_30SYJ_20180526_0_L2A;S2B_31SBD_20180526_0_L2A,1.0,0.2619,0.7381,0.089,-0.0117,otsu,0.687,0.1269,27537.6,12584.9,0.6192,3419.6,9072.5,511.5,-0.0909,0.0997,0.279,0.1726,nublado,2026-09-03T07:34:45+00:00
albufera-valencia,2018-05-31,2,S2A_30SYJ_20180531_0_L2A;S2A_31SBD_20180531_0_L2A,1.0,0.0979,0.9021,0.0655,0.043,otsu,0.715,0.0524,27537.6,11234.7,0.4523,7198.5,9244.7,1320.0,-0.1129,0.0986,0.3293,0.2073,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-06-15,4,S2B_30SYJ_20180615_0_L2A;S2B_30SYJ_20180615_1_L2A;S2B_31SBD_20180615_0_L2A;S2B_31SBD_20180615_1_L2A,1.0,0.0192,0.9808,0.0597,-0.0273,otsu,0.488,0.038,27537.6,9795.3,0.3627,9307.0,9155.7,1723.8,-0.1514,0.0998,0.3451,0.2493,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-06-20,4,S2A_30SYJ_20180620_0_L2A;S2A_30SYJ_20180620_1_L2A;S2A_31SBD_20180620_0_L2A;S2A_31SBD_20180620_1_L2A,1.0,0.016,0.984,0.0488,-0.0039,otsu,0.509,0.0359,27537.6,9336.0,0.3446,5330.2,9130.8,3209.9,-0.1729,0.1002,0.3526,0.2537,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-06-25,4,S2B_30SYJ_20180625_0_L2A;S2B_30SYJ_20180625_1_L2A;S2B_31SBD_20180625_0_L2A;S2B_31SBD_20180625_1_L2A,1.0,0.008,0.992,0.0581,-0.1289,otsu,0.474,0.1162,27537.6,9175.8,0.3359,2618.8,9071.1,141.0,-0.1024,0.0713,0.2101,0.1453,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-06-30,2,S2A_30SYJ_20180630_0_L2A;S2A_31SBD_20180630_0_L2A,1.0,0.0591,0.9409,0.0686,-0.1055,otsu,0.591,0.1136,27537.6,8424.6,0.3252,767.7,8372.7,102.8,-0.1003,0.0603,0.2002,0.1004,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-07-05,4,S2B_30SYJ_20180705_0_L2A;S2B_30SYJ_20180705_1_L2A;S2B_31SBD_20180705_0_L2A;S2B_31SBD_20180705_1_L2A,1.0,0.0056,0.9944,0.0468,-0.1211,otsu,0.462,0.0421,27537.6,9154.0,0.3343,303.0,9139.5,901.6,-0.1632,0.0564,0.2105,0.1392,ok,2026-09-03T07:34:45+00:00
albufera-valencia,2018-07-10,2,S2A_30SYJ_20180710_0_L2A;S2A_31SBD_20180710_0_L2A,1.0,0.0071,0.9929,0.033,0.0273,otsu,0.321,0.0349,27537.6,9071.4,0.3318,123.0,9138.8,8547.8,-0.3968,0.0518,0.3015,0.2456,ok,2026-09-03T07:34:45+00:00
