site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
brenne,2017-07-15,4,S2A_30TYS_20170715_0_L2A;S2A_30TYT_20170715_0_L2A;S2A_31TCM_20170715_0_L2A;S2A_31TCN_20170715_0_L2A,1.0,0.3309,0.6691,0.044,-0.2383,otsu,0.981,0.0384,57957.1,934.8,0.0241,1876.9,510.8,11.5,-0.066,0.1525,0.2321,0.1958,nublado,2026-09-03T17:48:32+00:00
brenne,2017-07-30,3,S2B_30TYS_20170730_0_L2A;S2B_30TYT_20170730_0_L2A;S2B_31TCN_20170730_0_L2A,0.0695,0.5931,0.0283,0.0736,0.0,fijo,,,57957.1,7.4,0.0045,11.2,8.8,0.0,-0.0998,0.1137,0.2457,0.1685,sin_datos,2026-09-03T17:48:32+00:00
brenne,2017-08-02,4,S2B_30TYS_20170802_0_L2A;S2B_30TYT_20170802_0_L2A;S2B_31TCM_20170802_0_L2A;S2B_31TCN_20170802_0_L2A,1.0,0.003,0.997,0.0459,-0.1836,otsu,0.714,0.0364,57957.1,1771.8,0.0307,2044.2,1527.6,593.9,-0.0882,0.1838,0.2951,0.418,ok,2026-09-03T17:48:32+00:00
brenne,2017-08-07,1,S2A_30TYS_20170807_0_L2A,0.032,0.988,0.0004,0.0472,0.0,fijo,,,57957.1,0.0,0.0,0.0,0.0,0.0,,,,,sin_datos,2026-09-03T17:48:32+00:00
brenne,2017-08-09,2,S2B_30TYS_20170809_0_L2A;S2B_31TCM_20170809_0_L2A,1.0,0.3031,0.6969,0.0539,-0.0508,otsu,0.594,0.0389,57957.1,1209.0,0.0299,1406.3,1187.4,1117.2,-0.1329,0.1777,0.3255,0.3721,nublado,2026-09-03T17:48:32+00:00
brenne,2017-08-14,1,S2A_30TYS_20170814_0_L2A,0.032,0.0047,0.0318,0.0432,-0.1523,otsu,0.784,0.0162,57957.1,41.2,0.0223,27.1,36.9,31.7,-0.0919,0.2098,0.3591,0.4592,sin_datos,2026-09-03T17:48:32+00:00
brenne,2017-08-19,2,S2B_30TYT_20170819_0_L2A;S2B_31TCN_20170819_0_L2A,0.0375,0.3981,0.0226,0.0578,-0.3398,otsu,,,57957.1,6.7,0.0051,277.0,2.8,1.8,0.0002,0.1075,0.1597,0.0,sin_datos,2026-09-03T17:48:32+00:00
brenne,2017-08-22,4,S2B_30TYS_20170822_0_L2A;S2B_30TYT_20170822_0_L2A;S2B_31TCM_20170822_0_L2A;S2B_31TCN_20170822_0_L2A,1.0,0.0003,0.9997,0.031,-0.0898,otsu,0.82,0.0253,57957.1,2106.5,0.0364,1335.1,2024.8,2717.7,-0.1161,0.2113,0.3391,0.5592,ok,2026-09-03T17:48:32+00:00
brenne,2017-08-29,4,S2B_30TYS_20170829_0_L2A;S2B_30TYT_20170829_0_L2A;S2B_31TCM_20170829_0_L2A;S2B_31TCN_20170829_0_L2A,1.0,0.0594,0.9406,0.0526,-0.2461,otsu,1.049,0.0485,57957.1,899.4,0.0165,2773.2,272.6,0.8,-0.062,0.1531,0.2193,0.2067,ok,2026-09-03T17:48:32+00:00
brenne,2017-09-11,4,S2B_30TYS_20170911_0_L2A;S2B_30TYT_20170911_0_L2A;S2B_31TCM_20170911_0_L2A;S2B_31TCN_20170911_0_L2A,1.0,0.7235,0.2765,0.1037,0.0,fijo,0.869,0.0541,57957.1,44.0,0.0027,191.0,37.8,19.7,-0.0863,0.1684,0.2384,0.253,nublado,2026-09-03T17:48:32+00:00
brenne,2017-09-28,2,S2B_30TYS_20170928_0_L2A;S2B_31TCM_20170928_0_L2A,1.0,0.6358,0.3642,0.0624,-0.1758,otsu,0.679,0.0441,57957.1,456.3,0.0216,641.7,351.2,41.9,-0.1083,0.1577,0.2141,0.1703,nublado,2026-09-03T17:48:32+00:00
brenne,2017-10-11,4,S2B_30TYS_20171011_0_L2A;S2B_30TYT_20171011_0_L2A;S2B_31TCM_20171011_0_L2A;S2B_31TCN_20171011_0_L2A,1.0,0.0004,0.9996,0.0298,-0.0664,otsu,0.695,0.0276,57957.1,2004.9,0.0346,1194.4,1966.8,1973.7,-0.1344,0.216,0.3199,0.6033,ok,2026-09-03T17:49:26+00:00
brenne,2017-10-21,1,S2B_30TYT_20171021_0_L2A,0.0,0.0,0.0,,0.0,fijo,,,57957.1,0.0,0.0,0.0,0.0,0.0,,,,,sin_datos,2026-09-03T17:48:32+00:00
brenne,2017-10-28,4,S2B_30TYS_20171028_0_L2A;S2B_30TYT_20171028_0_L2A;S2B_31TCM_20171028_0_L2A;S2B_31TCN_20171028_0_L2A,1.0,0.9431,0.0569,0.1487,0.0,fijo,0.975,0.1624,57957.1,132.9,0.0403,159.1,88.7,9.2,-0.0849,0.0381,0.0646,0.0,nublado,2026-09-03T17:49:26+00:00
brenne,2017-10-31,3,S2B_30TYS_20171031_0_L2A;S2B_31TCM_20171031_0_L2A;S2B_31TCN_20171031_0_L2A,1.0,0.0208,0.9792,0.0312,-0.1445,otsu,0.703,0.0279,57957.1,1521.0,0.0268,1197.1,1412.5,1229.6,-0.1325,0.1891,0.313,0.4675,ok,2026-09-03T17:49:26+00:00
brenne,2017-11-07,6,S2B_30TYS_20171107_0_L2A;S2B_30TYS_20171107_1_L2A;S2B_30TYT_20171107_0_L2A;S2B_31TCM_20171107_0_L2A;S2B_31TCM_20171107_1_L2A;S2B_31TCN_20171107_0_L2A,1.0,0.0005,0.9995,0.0336,-0.1055,otsu,0.651,0.0283,57957.1,1754.6,0.0303,832.8,1576.6,1674.0,-0.1241,0.1717,0.2844,0.3816,ok,2026-09-03T17:49:26+00:00
brenne,2017-11-17,2,S2B_30TYS_20171117_0_L2A;S2B_31TCM_20171117_0_L2A,1.0,0.0006,0.9994,0.0332,-0.082,otsu,0.982,0.0327,57957.1,1843.4,0.0318,571.8,1699.1,3172.3,-0.1313,0.1677,0.2771,0.344,ok,2026-09-03T17:49:26+00:00
brenne,2017-11-27,1,S2B_31TCM_20171127_0_L2A,1.0,0.5274,0.4726,0.1033,-0.3398,otsu,0.667,0.0633,57957.1,379.4,0.0138,17067.4,45.1,28.6,-0.0041,0.0842,0.1128,0.0043,nublado,2026-09-03T17:49:26+00:00
brenne,2017-12-20,1,S2B_30TYS_20171220_0_L2A,0.032,0.823,0.0058,0.077,0.1367,otsu,0.819,0.0291,57957.1,23.0,0.0688,2.0,26.5,27.7,-0.2273,0.1011,0.2128,0.1132,sin_datos,2026-09-03T17:49:26+00:00
brenne,2018-02-23,4,S2A_30TYS_20180223_0_L2A;S2A_30TYT_20180223_0_L2A;S2A_31TCM_20180223_0_L2A;S2A_31TCN_20180223_0_L2A,1.0,0.0847,0.9153,0.0334,-0.0508,otsu,0.723,0.0265,57957.1,3554.3,0.067,378.2,3009.2,4309.1,-0.0392,0.0957,0.1938,0.0898,ok,2026-09-03T17:49:26+00:00
brenne,2018-02-25,1,S2B_30TYS_20180225_0_L2A,0.032,0.0052,0.0318,0.0383,-0.0898,otsu,0.798,0.0253,57957.1,83.2,0.0451,3.8,67.6,79.1,0.0114,0.1235,0.1917,0.0563,sin_datos,2026-09-03T17:49:26+00:00
