site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
camargue,2017-07-04,4,S2B_31TEH_20170704_0_L2A;S2B_31TEJ_20170704_0_L2A;S2B_31TFH_20170704_0_L2A;S2B_31TFJ_20170704_0_L2A,1.0,0.0665,0.9335,0.071,0.1914,otsu,0.296,0.0796,77071.7,19878.2,0.2763,1353.4,18924.8,19272.2,-0.0848,0.028,0.1463,0.0422,ok,2026-09-03T15:28:02+00:00
camargue,2017-07-07,4,S2B_31TEH_20170707_0_L2A;S2B_31TEJ_20170707_0_L2A;S2B_31TFH_20170707_0_L2A;S2B_31TFJ_20170707_0_L2A,1.0,0.1024,0.8976,0.0694,0.0664,otsu,0.362,0.0678,77071.7,17511.0,0.2531,1247.8,16503.4,9297.8,-0.097,0.0225,0.11,0.0095,ok,2026-09-03T15:28:02+00:00
camargue,2017-07-14,4,S2B_31TEH_20170714_0_L2A;S2B_31TEJ_20170714_0_L2A;S2B_31TFH_20170714_0_L2A;S2B_31TFJ_20170714_0_L2A,1.0,0.0507,0.9493,0.0777,0.1211,otsu,0.586,0.0969,77071.7,19322.9,0.2641,1412.2,17631.8,17419.4,-0.023,0.0352,0.1072,0.0102,ok,2026-09-03T15:28:02+00:00
camargue,2017-07-17,4,S2B_31TEH_20170717_0_L2A;S2B_31TEJ_20170717_0_L2A;S2B_31TFH_20170717_0_L2A;S2B_31TFJ_20170717_0_L2A,1.0,0.1519,0.8481,0.0773,-0.043,otsu,0.757,0.1057,77071.7,12206.6,0.1867,1713.3,10692.5,423.5,-0.054,0.0241,0.096,0.0055,ok,2026-09-03T15:28:02+00:00
camargue,2017-07-24,4,S2B_31TEH_20170724_0_L2A;S2B_31TEJ_20170724_0_L2A;S2B_31TFH_20170724_0_L2A;S2B_31TFJ_20170724_0_L2A,1.0,0.1618,0.8382,0.0822,0.1133,otsu,0.526,0.098,77071.7,18605.1,0.288,1276.3,16909.9,16733.6,-0.0309,0.0413,0.118,0.0156,ok,2026-09-03T15:28:02+00:00
camargue,2017-07-27,4,S2B_31TEH_20170727_0_L2A;S2B_31TEJ_20170727_0_L2A;S2B_31TFH_20170727_0_L2A;S2B_31TFJ_20170727_0_L2A,1.0,0.1876,0.8124,0.0717,0.0742,otsu,0.428,0.0917,77071.7,14534.7,0.2321,1105.6,13477.0,8734.9,-0.0747,0.0308,0.1166,0.0157,ok,2026-09-03T15:28:02+00:00
camargue,2017-08-01,1,S2A_31TFJ_20170801_0_L2A,1.0,0.2553,0.7447,0.0729,-0.0586,otsu,0.632,0.124,77071.7,9862.7,0.1718,1112.8,9343.7,292.2,-0.034,0.0461,0.1115,0.0051,nublado,2026-09-03T15:28:02+00:00
camargue,2017-08-03,2,S2B_31TEJ_20170803_0_L2A;S2B_31TFJ_20170803_0_L2A,1.0,0.0391,0.9609,0.0612,0.0898,otsu,0.33,0.0532,77071.7,18547.5,0.2504,1394.7,17478.2,16505.3,-0.1163,0.0483,0.1668,0.0534,ok,2026-09-03T15:28:02+00:00
camargue,2017-08-06,4,S2B_31TEH_20170806_0_L2A;S2B_31TEJ_20170806_0_L2A;S2B_31TFH_20170806_1_L2A;S2B_31TFJ_20170806_0_L2A,1.0,0.0294,0.9706,0.066,0.0117,otsu,0.637,0.1417,77071.7,19311.4,0.2582,1854.7,17495.8,1519.4,-0.0316,0.0419,0.1114,0.0078,ok,2026-09-03T15:28:02+00:00
camargue,2017-08-13,4,S2B_31TEH_20170813_0_L2A;S2B_31TEJ_20170813_0_L2A;S2B_31TFH_20170813_0_L2A;S2B_31TFJ_20170813_0_L2A,1.0,0.0536,0.9464,0.0679,0.1992,otsu,0.401,0.0711,77071.7,18476.0,0.2533,1378.4,17595.5,18021.6,-0.081,0.0475,0.1602,0.0574,ok,2026-09-03T15:28:02+00:00
camargue,2017-08-23,3,S2B_31TEH_20170823_0_L2A;S2B_31TEJ_20170823_0_L2A;S2B_31TFJ_20170823_0_L2A,1.0,0.3919,0.6081,0.0715,0.1992,otsu,0.207,0.0638,77071.7,11448.3,0.2443,891.0,11657.8,10490.1,-0.1717,0.0053,0.1549,0.0519,nublado,2026-09-03T15:28:02+00:00
camargue,2017-08-26,4,S2B_31TEH_20170826_0_L2A;S2B_31TEJ_20170826_0_L2A;S2B_31TFH_20170826_0_L2A;S2B_31TFJ_20170826_0_L2A,1.0,0.0375,0.9625,0.0657,0.1211,otsu,0.395,0.0681,77071.7,18043.5,0.2432,1584.2,16813.0,14992.3,-0.1114,0.036,0.1498,0.0332,ok,2026-09-03T15:29:05+00:00
camargue,2017-09-05,4,S2B_31TEH_20170905_0_L2A;S2B_31TEJ_20170905_0_L2A;S2B_31TFH_20170905_0_L2A;S2B_31TFJ_20170905_0_L2A,1.0,0.0207,0.9793,0.0535,0.2383,otsu,0.231,0.0502,77071.7,17471.2,0.2315,1837.6,16853.8,17362.4,-0.166,0.036,0.214,0.1158,ok,2026-09-03T15:29:05+00:00
camargue,2017-09-12,3,S2B_31TEJ_20170912_0_L2A;S2B_31TFH_20170912_0_L2A;S2B_31TFJ_20170912_0_L2A,1.0,0.7552,0.2448,0.0708,0.1367,otsu,0.695,0.0938,77071.7,4091.4,0.2168,315.2,3891.2,3739.8,-0.0209,0.0322,0.0942,0.0141,nublado,2026-09-03T15:28:02+00:00
camargue,2017-10-02,2,S2B_31TEJ_20171002_0_L2A;S2B_31TFJ_20171002_0_L2A,1.0,0.0779,0.9221,0.0593,0.168,otsu,0.25,0.0507,77071.7,14192.2,0.1997,1228.5,14597.6,13393.8,-0.1826,0.0261,0.168,0.0595,ok,2026-09-03T15:29:05+00:00
camargue,2017-10-05,4,S2B_31TEH_20171005_0_L2A;S2B_31TEJ_20171005_0_L2A;S2B_31TFH_20171005_0_L2A;S2B_31TFJ_20171005_0_L2A,1.0,0.0264,0.9736,0.0541,0.2383,otsu,0.239,0.0475,77071.7,16341.0,0.2178,1593.3,15596.8,16400.0,-0.1766,0.0177,0.1661,0.0642,ok,2026-09-03T15:29:05+00:00
camargue,2017-10-12,4,S2B_31TEH_20171012_0_L2A;S2B_31TEJ_20171012_0_L2A;S2B_31TFH_20171012_0_L2A;S2B_31TFJ_20171012_0_L2A,1.0,0.0413,0.9587,0.0771,0.2148,otsu,0.317,0.0637,77071.7,16849.8,0.228,1087.8,16069.1,16093.9,-0.1464,0.0152,0.1289,0.0224,ok,2026-09-03T15:29:05+00:00
camargue,2017-10-15,4,S2B_31TEH_20171015_0_L2A;S2B_31TEJ_20171015_0_L2A;S2B_31TFH_20171015_0_L2A;S2B_31TFJ_20171015_0_L2A,1.0,0.0616,0.9384,0.0741,0.1992,otsu,0.312,0.0626,77071.7,16050.2,0.2219,867.5,15755.0,14874.1,-0.1451,0.0197,0.1315,0.0233,ok,2026-09-03T15:29:05+00:00
camargue,2017-10-22,4,S2B_31TEH_20171022_0_L2A;S2B_31TEJ_20171022_0_L2A;S2B_31TFH_20171022_0_L2A;S2B_31TFJ_20171022_0_L2A,1.0,0.2294,0.7706,0.0838,0.1992,otsu,0.586,0.0937,77071.7,15696.6,0.2643,431.2,14902.4,14893.0,-0.0331,0.033,0.1016,0.0218,nublado,2026-09-03T15:29:05+00:00
