site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
dombes,2026-06-07,2,S2A_31TFM_20260607_1_L2A;S2B_31TFM_20260607_0_L2A,0.8609,0.1528,0.7294,0.0522,-0.0898,otsu,0.776,0.0456,47573.2,2002.2,0.0577,1894.8,1988.7,1582.1,-0.1352,0.1654,0.2902,0.3937,parcial,2026-09-04T11:29:59+00:00
dombes,2026-06-10,1,S2B_31TFL_20260610_0_L2A,0.5626,0.5966,0.227,0.0679,0.0,fijo,1.145,0.0857,47573.2,351.6,0.0326,196.8,359.0,458.5,-0.1322,0.1771,0.2907,0.3527,parcial,2026-09-04T11:29:59+00:00
dombes,2026-06-12,2,S2C_31TFL_20260612_0_L2A;S2C_31TFM_20260612_0_L2A,0.912,0.6647,0.3057,0.0629,-0.0508,otsu,0.744,0.0513,47573.2,612.1,0.0421,355.7,644.8,908.3,-0.1634,0.1631,0.3202,0.4185,parcial,2026-09-04T11:29:59+00:00
dombes,2026-06-14,2,S2A_31TFL_20260614_0_L2A;S2A_31TFM_20260614_0_L2A,0.8914,0.0048,0.8871,0.0349,-0.0117,otsu,0.471,0.0254,47573.2,3080.8,0.073,1204.6,3323.3,2885.6,-0.1723,0.225,0.3829,0.599,parcial,2026-09-04T11:29:59+00:00
dombes,2026-06-15,2,S2C_31TFL_20260615_0_L2A;S2C_31TFM_20260615_0_L2A,1.0,0.0002,0.9998,0.0387,-0.1445,otsu,1.027,0.0517,47573.2,2599.0,0.0546,3161.2,2176.8,1869.2,-0.0988,0.1499,0.247,0.2653,ok,2026-09-04T11:29:59+00:00
dombes,2026-06-17,4,S2A_31TFL_20260617_1_L2A;S2A_31TFM_20260617_1_L2A;S2B_31TFL_20260617_0_L2A;S2B_31TFM_20260617_0_L2A,1.0,0.008,0.992,0.0463,-0.0195,otsu,0.557,0.0364,47573.2,3233.2,0.0685,1681.5,3432.4,2862.3,-0.1686,0.2099,0.354,0.5501,ok,2026-09-04T11:29:59+00:00
dombes,2026-06-20,2,S2B_31TFL_20260620_0_L2A;S2B_31TFM_20260620_0_L2A,1.0,0.0956,0.9044,0.0473,-0.1289,otsu,0.89,0.0566,47573.2,2801.8,0.0651,2093.8,2693.2,1651.9,-0.1098,0.1745,0.2833,0.3755,ok,2026-09-04T11:29:59+00:00
dombes,2026-06-22,2,S2C_31TFL_20260622_0_L2A;S2C_31TFM_20260622_0_L2A,0.9085,0.002,0.9067,0.0478,-0.0586,otsu,0.684,0.0355,47573.2,2496.4,0.0579,2198.5,2869.5,2331.6,-0.1748,0.2198,0.3582,0.585,parcial,2026-09-04T11:29:59+00:00
dombes,2026-06-24,1,S2A_31TFM_20260624_0_L2A,0.7658,0.0012,0.7648,0.0441,-0.0508,otsu,0.592,0.0314,47573.2,2328.6,0.064,1692.7,2733.5,2107.0,-0.1963,0.2644,0.4161,0.7092,parcial,2026-09-04T11:29:59+00:00
dombes,2026-06-25,2,S2C_31TFL_20260625_0_L2A;S2C_31TFM_20260625_0_L2A,1.0,0.0004,0.9996,0.0439,-0.1211,otsu,0.9,0.0452,47573.2,2687.2,0.0565,2763.8,2857.2,2020.1,-0.1306,0.2049,0.3367,0.5248,ok,2026-09-04T11:29:59+00:00
dombes,2026-06-27,4,S2A_31TFL_20260627_1_L2A;S2A_31TFM_20260627_1_L2A;S2B_31TFL_20260627_0_L2A;S2B_31TFM_20260627_0_L2A,1.0,0.0082,0.9918,0.052,-0.0195,otsu,0.759,0.0395,47573.2,2402.2,0.0509,2482.3,2701.0,2723.9,-0.1573,0.2462,0.3804,0.6811,ok,2026-09-04T11:29:59+00:00
dombes,2026-06-30,2,S2B_31TFL_20260630_0_L2A;S2B_31TFM_20260630_0_L2A,1.0,0.4164,0.5836,0.0753,-0.0742,otsu,1.092,0.0781,47573.2,851.7,0.0307,1250.7,858.1,1240.2,-0.1345,0.2,0.3062,0.5193,nublado,2026-09-04T11:29:59+00:00
dombes,2026-07-02,2,S2C_31TFL_20260702_0_L2A;S2C_31TFM_20260702_0_L2A,0.8882,0.2914,0.6295,0.0595,-0.043,otsu,0.9,0.0447,47573.2,1028.3,0.0343,1627.9,1266.1,1528.7,-0.166,0.2418,0.3748,0.6397,parcial,2026-09-04T11:29:59+00:00
dombes,2026-07-04,2,S2A_31TFL_20260704_0_L2A;S2A_31TFM_20260704_0_L2A,0.89,0.0013,0.8888,0.0476,-0.0273,otsu,0.862,0.0349,47573.2,1614.7,0.0382,2765.5,1895.9,2305.4,-0.154,0.2432,0.3613,0.6539,parcial,2026-09-04T11:29:59+00:00
dombes,2026-07-05,2,S2C_31TFL_20260705_0_L2A;S2C_31TFM_20260705_0_L2A,1.0,0.0005,0.9995,0.0436,-0.1133,otsu,0.996,0.0484,47573.2,1888.5,0.0397,3358.0,2039.0,1951.8,-0.1257,0.2071,0.3257,0.5329,ok,2026-09-04T11:29:59+00:00
dombes,2026-07-07,4,S2A_31TFL_20260707_0_L2A;S2A_31TFM_20260707_0_L2A;S2B_31TFL_20260707_1_L2A;S2B_31TFM_20260707_1_L2A,1.0,0.0057,0.9943,0.0512,-0.0117,otsu,0.831,0.0354,47573.2,1709.0,0.0361,2953.8,2088.1,2439.0,-0.1618,0.2475,0.3879,0.6311,ok,2026-09-04T11:29:59+00:00
dombes,2026-07-10,2,S2B_31TFL_20260710_0_L2A;S2B_31TFM_20260710_0_L2A,1.0,0.1047,0.8953,0.0473,-0.0195,otsu,0.764,0.0348,47573.2,1542.3,0.0362,2622.6,2036.0,2160.9,-0.1812,0.2726,0.4309,0.7087,ok,2026-09-04T11:29:59+00:00
dombes,2026-07-12,2,S2C_31TFL_20260712_0_L2A;S2C_31TFM_20260712_0_L2A,0.9107,0.0011,0.9097,0.0539,-0.0273,otsu,0.862,0.035,47573.2,1501.1,0.0347,2891.7,1980.0,2195.9,-0.1763,0.2678,0.406,0.7164,parcial,2026-09-04T11:29:59+00:00
dombes,2026-07-14,2,S2A_31TFL_20260714_0_L2A;S2A_31TFM_20260714_0_L2A,0.891,0.3848,0.5481,0.059,-0.1523,otsu,1.172,0.0419,47573.2,787.1,0.0302,1706.2,799.2,878.3,-0.1408,0.2415,0.3569,0.6717,parcial,2026-09-04T11:29:59+00:00
