site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
donana,2017-07-01,1,S2A_29SQA_20170701_0_L2A,0.3979,0.09,0.3621,0.0831,0.0508,otsu,0.501,0.0771,128264.6,8808.6,0.1896,457.0,8456.8,3645.9,-0.1681,0.0421,0.2141,0.1162,sin_datos,2026-09-03T08:32:06+00:00
donana,2017-07-06,3,S2B_29SPA_20170706_0_L2A;S2B_29SPB_20170706_0_L2A;S2B_29SQB_20170706_0_L2A,0.8446,0.3287,0.5671,0.0705,-0.1133,otsu,0.61,0.0787,128264.6,1257.3,0.0173,285.8,1234.6,2327.8,-0.203,-0.0079,0.0113,0.0057,parcial,2026-09-03T08:32:06+00:00
donana,2017-07-16,6,S2B_29SPA_20170716_0_L2A;S2B_29SPB_20170716_0_L2A;S2B_29SQA_20170716_0_L2A;S2B_29SQB_20170716_0_L2A;S2B_30STF_20170716_0_L2A;S2B_30STG_20170716_0_L2A,1.0,0.0354,0.9646,0.0773,-0.0898,otsu,0.632,0.0732,128264.6,7933.3,0.0641,1072.3,7479.5,9846.6,-0.1506,0.0488,0.1593,0.051,ok,2026-09-03T08:32:06+00:00
donana,2017-07-26,6,S2B_29SPA_20170726_0_L2A;S2B_29SPB_20170726_0_L2A;S2B_29SQA_20170726_0_L2A;S2B_29SQB_20170726_0_L2A;S2B_30STF_20170726_0_L2A;S2B_30STG_20170726_0_L2A,1.0,0.0175,0.9825,0.0773,0.0195,otsu,0.46,0.0845,128264.6,7785.6,0.0618,776.6,7478.6,8991.4,-0.1638,0.0333,0.1599,0.0438,ok,2026-09-03T08:32:06+00:00
donana,2017-08-05,6,S2B_29SPA_20170805_0_L2A;S2B_29SPB_20170805_0_L2A;S2B_29SQA_20170805_0_L2A;S2B_29SQB_20170805_0_L2A;S2B_30STF_20170805_0_L2A;S2B_30STG_20170805_0_L2A,1.0,0.0418,0.9582,0.0732,-0.0195,otsu,0.437,0.0501,128264.6,7511.0,0.0611,487.4,7323.5,4813.9,-0.2601,0.0334,0.1838,0.0822,ok,2026-09-03T08:32:06+00:00
donana,2017-08-15,8,S2B_29SPA_20170815_0_L2A;S2B_29SPB_20170815_0_L2A;S2B_29SQA_20170815_0_L2A;S2B_29SQA_20170815_1_L2A;S2B_29SQB_20170815_0_L2A;S2B_30STF_20170815_0_L2A;S2B_30STG_20170815_0_L2A;S2B_30STG_20170815_1_L2A,1.0,0.0947,0.9053,0.0713,-0.043,otsu,0.34,0.0589,128264.6,7078.7,0.061,372.3,6855.7,2643.2,-0.2215,0.0492,0.1864,0.0814,ok,2026-09-03T08:32:06+00:00
donana,2017-08-25,2,S2B_29SQB_20170825_0_L2A;S2B_30STG_20170825_0_L2A,0.8377,0.9432,0.0483,0.1172,0.0,fijo,1.625,0.1357,128264.6,2.6,0.0004,29.4,1.8,77.8,-0.0332,0.0291,0.0952,0.0,parcial,2026-09-03T08:32:06+00:00
donana,2017-09-04,6,S2B_29SPA_20170904_0_L2A;S2B_29SPB_20170904_0_L2A;S2B_29SQA_20170904_0_L2A;S2B_29SQB_20170904_0_L2A;S2B_30STF_20170904_0_L2A;S2B_30STG_20170904_0_L2A,1.0,0.0342,0.9658,0.0622,0.0977,otsu,0.164,0.0495,128264.6,7491.2,0.0605,305.8,7455.4,7348.5,-0.3314,-0.019,0.17,0.0654,ok,2026-09-03T08:32:06+00:00
donana,2017-09-24,8,S2B_29SPA_20170924_0_L2A;S2B_29SPB_20170924_0_L2A;S2B_29SQA_20170924_0_L2A;S2B_29SQA_20170924_1_L2A;S2B_29SQB_20170924_0_L2A;S2B_30STF_20170924_0_L2A;S2B_30STF_20170924_1_L2A;S2B_30STG_20170924_0_L2A,1.0,0.0364,0.9636,0.0672,0.1211,otsu,0.178,0.0454,128264.6,7329.9,0.0593,259.0,7230.1,7158.1,-0.3249,-0.0105,0.1695,0.0592,ok,2026-09-03T08:32:06+00:00
donana,2017-10-04,6,S2B_29SPA_20171004_0_L2A;S2B_29SPB_20171004_0_L2A;S2B_29SQA_20171004_0_L2A;S2B_29SQB_20171004_0_L2A;S2B_30STF_20171004_0_L2A;S2B_30STG_20171004_0_L2A,1.0,0.0226,0.9774,0.066,0.1445,otsu,0.108,0.0465,128264.6,7545.8,0.0602,219.2,7565.9,7160.3,-0.376,-0.0165,0.1785,0.0711,ok,2026-09-03T08:32:06+00:00
