site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
fuente-piedra,2017-07-03,1,S2B_30SUG_20170703_0_L2A,1.0,0.1624,0.8376,0.1062,0.0,fijo,,,8667.8,5.0,0.0007,1.4,3.1,0.0,0.0226,0.0264,0.0525,0.0159,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-07-13,1,S2B_30SUG_20170713_0_L2A,1.0,0.136,0.864,0.1084,0.0,fijo,,,8667.8,0.9,0.0001,1.1,0.0,0.0,0.0164,0.0295,0.0678,0.0,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-07-16,1,S2B_30SUG_20170716_0_L2A,1.0,0.1173,0.8827,0.0857,0.0,fijo,,,8667.8,0.3,0.0,0.4,0.0,0.0,0.0278,0.0474,0.0809,0.0,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-07-23,1,S2B_30SUG_20170723_0_L2A,1.0,0.1406,0.8594,0.1064,0.0,fijo,,,8667.8,6.7,0.0009,4.2,2.1,0.3,0.0162,0.0338,0.0739,0.0,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-07-26,1,S2B_30SUG_20170726_0_L2A,1.0,0.0643,0.9357,0.0934,0.0,fijo,1.404,0.1315,8667.8,5.3,0.0007,3.4,1.3,55.6,-0.0159,0.0817,0.238,0.1364,espectro_anomalo,2026-09-03T08:00:42+00:00
fuente-piedra,2017-08-02,1,S2B_30SUG_20170802_0_L2A,1.0,0.1466,0.8534,0.1012,0.0,fijo,,,8667.8,8.0,0.0011,1.6,3.2,12.2,0.0032,0.0347,0.0655,0.0,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-08-05,1,S2B_30SUG_20170805_0_L2A,1.0,0.1148,0.8852,0.0883,0.0,fijo,,,8667.8,1.4,0.0002,3.7,0.0,0.0,0.0221,0.056,0.087,0.0,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-08-07,1,S2A_30SUG_20170807_0_L2A,1.0,0.1745,0.8255,0.105,0.0,fijo,,,8667.8,0.4,0.0001,1.2,0.0,0.0,0.0076,0.0471,0.06,0.0,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-08-12,1,S2B_30SUG_20170812_0_L2A,1.0,0.1444,0.8556,0.1008,0.0,fijo,,,8667.8,4.9,0.0007,2.6,1.8,0.0,0.0307,0.0346,0.0499,0.0246,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-08-15,1,S2B_30SUG_20170815_0_L2A,1.0,0.1035,0.8965,0.0923,0.0,fijo,,,8667.8,0.0,0.0,0.6,0.1,0.0,,,,,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-08-22,1,S2B_30SUG_20170822_0_L2A,1.0,0.1329,0.8671,0.1031,0.0,fijo,,,8667.8,0.0,0.0,1.9,0.0,0.0,,,,,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-08-25,1,S2B_30SUG_20170825_0_L2A,1.0,0.3416,0.6584,0.1163,0.0,fijo,,,8667.8,0.0,0.0,0.0,0.0,54.7,,,,,nublado,2026-09-03T08:00:50+00:00
fuente-piedra,2017-09-01,1,S2B_30SUG_20170901_0_L2A,1.0,0.0351,0.9649,0.095,0.1055,otsu,0.505,0.0597,8667.8,761.7,0.0911,49.6,631.1,675.2,-0.001,0.05,0.1333,0.0204,ok,2026-09-03T08:00:42+00:00
fuente-piedra,2017-09-04,1,S2B_30SUG_20170904_0_L2A,1.0,0.0267,0.9733,0.0895,0.168,otsu,0.674,0.0671,8667.8,648.7,0.0769,108.9,544.6,590.3,-0.0306,0.1176,0.216,0.1412,ok,2026-09-03T08:00:50+00:00
fuente-piedra,2017-09-11,1,S2B_30SUG_20170911_0_L2A,1.0,0.0673,0.9327,0.0914,0.2305,otsu,0.731,0.0792,8667.8,554.2,0.0686,26.8,471.0,497.0,-0.0805,0.1451,0.2705,0.2444,ok,2026-09-03T08:00:50+00:00
fuente-piedra,2017-09-24,1,S2B_30SUG_20170924_0_L2A,1.0,0.0864,0.9136,0.0857,0.0273,otsu,1.104,0.1678,8667.8,240.8,0.0304,7.7,61.2,259.2,0.0184,0.0517,0.0747,0.0002,espectro_anomalo,2026-09-03T08:00:50+00:00
fuente-piedra,2017-09-26,1,S2A_30SUG_20170926_0_L2A,1.0,0.1043,0.8957,0.0851,-0.0273,otsu,1.042,0.1479,8667.8,198.0,0.0255,9.6,58.0,217.2,-0.0003,0.0346,0.0547,0.0,ok,2026-09-03T08:00:50+00:00
fuente-piedra,2017-10-01,1,S2B_30SUG_20171001_0_L2A,1.0,0.1016,0.8984,0.0871,-0.1602,otsu,0.969,0.1114,8667.8,190.1,0.0244,11.8,147.5,14.8,-0.0211,0.0349,0.0558,0.0,ok,2026-09-03T08:00:50+00:00
fuente-piedra,2017-10-04,1,S2B_30SUG_20171004_0_L2A,1.0,0.0908,0.9092,0.0801,-0.1758,otsu,0.973,0.1147,8667.8,199.7,0.0253,10.0,159.9,2.6,-0.012,0.0327,0.0506,0.0018,ok,2026-09-03T08:00:50+00:00
fuente-piedra,2017-10-11,1,S2B_30SUG_20171011_0_L2A,1.0,0.1012,0.8988,0.0799,0.0,fijo,1.021,0.1232,8667.8,114.8,0.0147,7.8,48.3,3.8,-0.0083,0.0284,0.0495,0.0003,ok,2026-09-03T08:00:50+00:00
fuente-piedra,2017-10-21,1,S2B_30SUG_20171021_0_L2A,1.0,0.0459,0.9541,0.0588,0.2148,otsu,0.697,0.0458,8667.8,519.3,0.0628,17.9,440.2,429.2,-0.1183,0.1467,0.2597,0.2451,ok,2026-09-03T08:00:50+00:00
fuente-piedra,2017-10-24,1,S2B_30SUG_20171024_0_L2A,1.0,0.0455,0.9545,0.0737,0.168,otsu,0.838,0.0356,8667.8,352.0,0.0425,120.4,207.1,159.2,-0.0526,0.1758,0.3096,0.3713,ok,2026-09-03T08:00:50+00:00
fuente-piedra,2017-10-31,1,S2B_30SUG_20171031_0_L2A,1.0,0.1012,0.8988,0.0826,0.1758,otsu,1.003,0.0397,8667.8,327.1,0.042,99.4,161.3,80.0,-0.0618,0.1646,0.26,0.3397,ok,2026-09-03T08:00:50+00:00
fuente-piedra,2017-11-10,1,S2B_30SUG_20171110_0_L2A,1.0,0.0312,0.9688,0.073,0.2148,otsu,0.743,0.0616,8667.8,502.0,0.0598,29.8,345.8,367.9,-0.0495,0.1302,0.1797,0.0435,ok,2026-09-03T08:00:50+00:00
