site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
gallocanta,2017-07-03,1,S2B_30TXL_20170703_0_L2A,1.0,0.1408,0.8592,0.1151,-0.2461,otsu,1.14,0.1723,2813.8,719.0,0.2974,6.0,0.0,0.3,0.0354,0.0246,0.0329,0.0,espectro_anomalo,2026-09-03T08:17:39+00:00
gallocanta,2017-07-10,1,S2B_30TXL_20170710_0_L2A,1.0,0.5652,0.4348,0.1126,0.0,fijo,,,2813.8,4.0,0.0032,2.9,9.3,1.8,-0.0311,0.0124,0.0328,0.0,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-07-13,1,S2B_30TXL_20170713_0_L2A,1.0,0.3715,0.6285,0.0946,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-07-15,1,S2A_30TXL_20170715_0_L2A,1.0,0.4161,0.5839,0.1108,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-07-20,1,S2B_30TXL_20170720_0_L2A,1.0,0.4113,0.5887,0.1162,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.1,0.0,,,,,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-07-23,1,S2B_30TXL_20170723_0_L2A,1.0,0.3789,0.6211,0.1014,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-07-30,1,S2B_30TXL_20170730_0_L2A,1.0,0.5994,0.4006,0.1329,0.0,fijo,,,2813.8,0.7,0.0006,1.2,0.6,0.0,-0.0141,-0.0063,0.0201,0.0,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-08-07,1,S2A_30TXL_20170807_0_L2A,1.0,0.3477,0.6523,0.094,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-08-09,1,S2B_30TXL_20170809_0_L2A,1.0,0.8876,0.1124,0.124,0.0,fijo,,,2813.8,0.2,0.0006,0.4,0.8,0.1,-0.0347,-0.032,-0.0183,0.0,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-08-12,2,S2B_30TXL_20170812_0_L2A;S2B_30TXL_20170812_1_L2A,1.0,0.3879,0.6121,0.0924,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-08-19,1,S2B_30TXL_20170819_0_L2A,1.0,0.4044,0.5956,0.1077,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-08-22,1,S2B_30TXL_20170822_0_L2A,1.0,0.3965,0.6035,0.1042,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:39+00:00
gallocanta,2017-08-29,1,S2B_30TXL_20170829_0_L2A,1.0,0.873,0.127,0.1443,0.0508,otsu,,,2813.8,13.0,0.0365,1.2,8.6,0.4,0.0008,0.0283,0.0475,0.0,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-09-01,1,S2B_30TXL_20170901_0_L2A,1.0,0.3483,0.6517,0.0986,0.1211,otsu,1.078,0.1972,2813.8,38.5,0.021,0.0,1.1,2.7,0.0321,0.0241,0.0314,0.0,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-09-08,1,S2B_30TXL_20170908_0_L2A,1.0,0.2134,0.7866,0.1112,-0.2852,otsu,1.236,0.1879,2813.8,530.4,0.2396,8.9,0.0,0.0,0.0448,0.0344,0.0415,0.0,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-09-11,1,S2B_30TXL_20170911_0_L2A,1.0,0.3638,0.6362,0.0862,0.0,fijo,1.006,0.1087,2813.8,48.3,0.027,0.6,23.0,5.3,-0.0058,0.0128,0.0353,0.0,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-09-26,1,S2A_30TXL_20170926_0_L2A,1.0,0.3619,0.6381,0.0783,0.0,fijo,,,2813.8,0.2,0.0001,0.0,0.2,0.0,,,,,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-09-28,1,S2B_30TXL_20170928_0_L2A,1.0,0.5109,0.4891,0.0998,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-10-08,1,S2B_30TXL_20171008_0_L2A,1.0,0.4,0.6,0.0883,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-10-11,1,S2B_30TXL_20171011_0_L2A,1.0,0.3584,0.6416,0.088,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-10-28,1,S2B_30TXL_20171028_0_L2A,1.0,0.3924,0.6076,0.0932,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-10-31,2,S2B_30TXL_20171031_0_L2A;S2B_30TXL_20171031_1_L2A,1.0,0.3684,0.6316,0.0869,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:51+00:00
gallocanta,2017-11-07,1,S2B_30TXL_20171107_0_L2A,1.0,0.0594,0.9406,0.1097,-0.332,otsu,1.352,0.1494,2813.8,983.0,0.3714,30.4,0.0,0.0,0.0656,0.0281,0.0378,0.0,espectro_anomalo,2026-09-03T08:17:45+00:00
gallocanta,2017-11-10,1,S2B_30TXL_20171110_0_L2A,1.0,0.9642,0.0358,0.1123,-0.1367,otsu,1.109,0.136,2813.8,62.1,0.6166,0.2,0.1,3.1,-0.0058,0.0204,0.0337,0.0,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-11-17,1,S2B_30TXL_20171117_0_L2A,1.0,0.3887,0.6113,0.0831,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:45+00:00
gallocanta,2017-11-20,1,S2B_30TXL_20171120_0_L2A,1.0,0.4146,0.5854,0.0916,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:51+00:00
gallocanta,2017-11-27,1,S2B_30TXL_20171127_0_L2A,1.0,0.3235,0.6765,0.0734,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:51+00:00
gallocanta,2017-11-30,1,S2B_30TXL_20171130_0_L2A,1.0,0.3908,0.6092,0.0899,0.0,fijo,0.969,0.1115,2813.8,71.6,0.0417,0.1,51.7,34.9,-0.027,-0.0103,0.0181,0.0,nublado,2026-09-03T08:17:51+00:00
gallocanta,2017-12-17,1,S2B_30TXL_20171217_0_L2A,1.0,0.4807,0.5193,0.0897,-0.332,otsu,1.17,0.0864,2813.8,520.4,0.3562,46.3,2.2,26.3,0.0473,0.0269,0.046,0.0,nublado,2026-09-03T08:17:51+00:00
gallocanta,2018-02-23,1,S2A_30TXL_20180223_0_L2A,1.0,0.218,0.782,0.0918,-0.332,otsu,1.323,0.1871,2813.8,529.4,0.2406,9.6,0.0,0.0,0.0595,0.0282,0.0461,0.0,nublado,2026-09-03T08:17:51+00:00
gallocanta,2018-02-25,1,S2B_30TXL_20180225_0_L2A,1.0,0.3637,0.6363,0.1001,0.0,fijo,,,2813.8,4.0,0.0022,0.0,0.0,0.0,0.0429,0.0359,0.0467,0.0,nublado,2026-09-03T08:17:51+00:00
gallocanta,2018-03-27,2,S2B_30TXL_20180327_0_L2A;S2B_30TXL_20180327_1_L2A,1.0,0.412,0.588,0.1132,0.0,fijo,1.025,0.0972,2813.8,20.8,0.0126,0.1,9.7,2.6,-0.01,0.0122,0.0311,0.0,nublado,2026-09-03T08:17:51+00:00
gallocanta,2018-03-30,2,S2B_30TXL_20180330_0_L2A;S2B_30TXL_20180330_1_L2A,1.0,0.9514,0.0486,0.1306,-0.1602,otsu,1.178,0.1145,2813.8,59.0,0.432,8.1,0.0,0.3,0.0195,0.0221,0.0466,0.0,nublado,2026-09-03T08:17:56+00:00
gallocanta,2018-04-09,1,S2B_30TXL_20180409_0_L2A,1.0,0.4592,0.5408,0.0918,0.0,fijo,,,2813.8,11.6,0.0076,1.6,5.4,1.1,0.0016,0.0146,0.0314,0.0,nublado,2026-09-03T08:17:51+00:00
gallocanta,2018-04-14,1,S2A_30TXL_20180414_0_L2A,1.0,0.4362,0.5638,0.0992,0.2383,otsu,0.395,0.11,2813.8,461.2,0.2907,0.9,415.5,480.2,0.0796,-0.0214,0.0286,0.0,nublado,2026-09-03T08:17:51+00:00
gallocanta,2018-04-19,2,S2B_30TXL_20180419_0_L2A;S2B_30TXL_20180419_1_L2A,1.0,0.1103,0.8897,0.0977,0.1523,otsu,0.454,0.1421,2813.8,716.5,0.2862,9.4,655.4,546.7,0.0127,0.0394,0.179,0.082,ok,2026-09-03T08:17:56+00:00
gallocanta,2018-04-21,1,S2A_30TXL_20180421_0_L2A,1.0,1.0,0.0,,0.0,fijo,,,2813.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T08:17:51+00:00
gallocanta,2018-04-24,1,S2A_30TXL_20180424_0_L2A,1.0,0.1136,0.8864,0.0869,0.0977,otsu,0.546,0.0876,2813.8,643.6,0.258,12.4,630.0,1.9,-0.112,0.1667,0.2688,0.2699,ok,2026-09-03T08:17:51+00:00
gallocanta,2018-04-26,1,S2B_30TXL_20180426_0_L2A,1.0,0.1215,0.8785,0.1051,0.207,otsu,0.351,0.1169,2813.8,709.0,0.2868,8.5,670.7,663.6,-0.1084,0.1135,0.1768,0.0578,ok,2026-09-03T08:17:56+00:00
gallocanta,2018-05-01,1,S2A_30TXL_20180501_0_L2A,1.0,0.8067,0.1933,0.1179,0.0898,otsu,,,2813.8,15.9,0.0292,5.1,11.9,15.5,-0.0449,0.0792,0.1049,0.0,nublado,2026-09-03T08:17:56+00:00
gallocanta,2018-05-04,1,S2A_30TXL_20180504_0_L2A,1.0,0.3785,0.6215,0.0951,0.1523,otsu,0.573,0.1728,2813.8,322.5,0.1844,2.0,293.6,262.6,-0.0107,0.0325,0.0744,0.0,nublado,2026-09-03T08:17:56+00:00
gallocanta,2018-05-06,1,S2B_30TXL_20180506_0_L2A,1.0,0.5157,0.4843,0.1108,0.1836,otsu,0.368,0.1651,2813.8,95.2,0.0699,4.2,84.7,449.2,-0.0427,0.0145,0.0842,0.0,nublado,2026-09-03T08:17:56+00:00
gallocanta,2018-05-09,1,S2B_30TXL_20180509_0_L2A,1.0,0.2997,0.7003,0.0847,0.1992,otsu,0.605,0.174,2813.8,214.7,0.109,3.4,168.9,506.4,-0.0414,0.0939,0.1696,0.0374,nublado,2026-09-03T08:17:56+00:00
gallocanta,2018-05-11,1,S2A_30TXL_20180511_0_L2A,1.0,0.5159,0.4841,0.1001,0.168,otsu,0.693,0.1393,2813.8,147.1,0.108,5.0,114.6,350.4,-0.0672,0.1059,0.1658,0.0408,nublado,2026-09-03T08:17:56+00:00
gallocanta,2018-05-14,1,S2A_30TXL_20180514_0_L2A,1.0,0.7747,0.2253,0.0994,0.2383,otsu,0.48,0.1071,2813.8,146.8,0.2315,6.9,127.0,125.5,-0.1028,0.0475,0.1423,0.0136,nublado,2026-09-03T08:17:56+00:00
gallocanta,2018-05-16,1,S2B_30TXL_20180516_0_L2A,1.0,0.3242,0.6758,0.0938,0.2227,otsu,0.552,0.1779,2813.8,282.3,0.1484,5.2,215.2,508.2,-0.0709,0.1332,0.1932,0.0809,nublado,2026-09-03T08:17:56+00:00
gallocanta,2018-05-19,1,S2B_30TXL_20180519_0_L2A,1.0,0.9657,0.0343,0.1133,0.0,fijo,,,2813.8,11.4,0.1181,76.8,0.5,0.3,-0.0187,0.0396,0.0636,0.0,nublado,2026-09-03T08:17:56+00:00
gallocanta,2018-05-21,1,S2A_30TXL_20180521_0_L2A,1.0,0.2345,0.7655,0.0934,0.2617,otsu,0.579,0.1277,2813.8,433.8,0.2014,32.4,378.6,536.3,-0.1374,0.199,0.3106,0.4799,nublado,2026-09-03T08:17:56+00:00
gallocanta,2018-05-24,1,S2A_30TXL_20180524_0_L2A,1.0,0.1983,0.8017,0.0781,0.1836,otsu,0.547,0.1065,2813.8,415.7,0.1843,42.7,403.0,369.4,-0.1593,0.2112,0.3366,0.5423,ok,2026-09-03T08:18:07+00:00
gallocanta,2018-05-26,1,S2B_30TXL_20180526_0_L2A,1.0,0.5628,0.4372,0.0998,0.2305,otsu,0.553,0.1214,2813.8,142.7,0.116,32.1,133.5,142.8,-0.1744,0.2218,0.3042,0.6655,nublado,2026-09-03T08:18:07+00:00
gallocanta,2018-06-03,2,S2A_30TXL_20180603_0_L2A;S2A_30TXL_20180603_1_L2A,1.0,0.1498,0.8502,0.0669,0.2227,otsu,0.271,0.0886,2813.8,812.9,0.3398,6.7,691.6,750.5,-0.0278,0.0769,0.1897,0.0782,ok,2026-09-03T08:18:07+00:00
gallocanta,2018-06-13,2,S2A_30TXL_20180613_0_L2A;S2A_30TXL_20180613_1_L2A,1.0,0.654,0.346,0.0797,-0.0039,otsu,0.496,0.0619,2813.8,192.7,0.198,13.9,182.3,68.2,-0.0839,0.0624,0.1092,0.0015,nublado,2026-09-03T08:18:07+00:00
gallocanta,2018-06-15,2,S2B_30TXL_20180615_0_L2A;S2B_30TXL_20180615_1_L2A,1.0,0.08,0.92,0.0545,0.2383,otsu,0.246,0.03,2813.8,875.9,0.3384,4.9,865.6,919.2,-0.1883,0.2044,0.3914,0.5196,ok,2026-09-03T08:18:07+00:00
gallocanta,2018-06-18,2,S2B_30TXL_20180618_0_L2A;S2B_30TXL_20180618_1_L2A,1.0,0.2018,0.7982,0.0652,0.0117,otsu,0.367,0.0344,2813.8,504.6,0.2246,8.7,496.7,171.6,-0.1658,0.1774,0.332,0.339,nublado,2026-09-03T08:18:07+00:00
gallocanta,2018-06-20,2,S2A_30TXL_20180620_0_L2A;S2A_30TXL_20180620_1_L2A,1.0,0.0986,0.9014,0.0605,0.2148,otsu,0.318,0.0299,2813.8,825.0,0.3253,44.4,858.0,892.4,-0.2695,0.2646,0.4464,0.612,ok,2026-09-03T08:18:07+00:00
gallocanta,2018-06-23,2,S2A_30TXL_20180623_0_L2A;S2A_30TXL_20180623_1_L2A,1.0,0.0781,0.9219,0.0599,0.168,otsu,0.41,0.036,2813.8,823.4,0.3174,73.8,873.9,818.6,-0.248,0.2563,0.4121,0.6132,ok,2026-09-03T08:18:07+00:00
gallocanta,2018-06-25,2,S2B_30TXL_20180625_0_L2A;S2B_30TXL_20180625_1_L2A,1.0,0.0848,0.9152,0.0623,0.168,otsu,0.481,0.0257,2813.8,770.9,0.2994,142.3,850.9,826.2,-0.2351,0.2781,0.4458,0.6481,ok,2026-09-03T08:18:07+00:00
gallocanta,2018-06-30,1,S2A_30TXL_20180630_0_L2A,1.0,0.1126,0.8874,0.0632,0.0352,otsu,0.579,0.024,2813.8,577.8,0.2314,217.6,688.8,243.2,-0.2142,0.2905,0.4227,0.8004,ok,2026-09-03T08:18:07+00:00
gallocanta,2018-07-03,2,S2A_30TXL_20180703_0_L2A;S2A_30TXL_20180703_1_L2A,1.0,0.0795,0.9205,0.0625,0.1523,otsu,0.456,0.0321,2813.8,739.4,0.2855,117.9,776.6,700.6,-0.2085,0.2675,0.3615,0.802,ok,2026-09-03T08:18:07+00:00
gallocanta,2018-07-05,2,S2B_30TXL_20180705_0_L2A;S2B_30TXL_20180705_1_L2A,1.0,0.2305,0.7695,0.0861,0.207,otsu,0.404,0.0473,2813.8,705.0,0.3256,83.1,745.1,696.0,-0.2192,0.2683,0.3541,0.8551,nublado,2026-09-03T08:18:15+00:00
