site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
grand-lieu,2017-07-03,1,S2B_30TWT_20170703_0_L2A,1.0,0.9213,0.0787,0.1339,-0.0898,otsu,0.993,0.1143,6299.3,26.2,0.0528,230.1,14.4,0.1,-0.1004,0.1051,0.1452,0.0,nublado,2026-09-03T14:58:51+00:00
grand-lieu,2017-07-06,1,S2B_30TXT_20170706_0_L2A,0.5058,1.0031,0.0,,0.0,fijo,,,6299.3,0.0,0.0,0.0,0.0,0.2,,,,,parcial,2026-09-03T14:58:51+00:00
grand-lieu,2017-07-16,2,S2B_30TWT_20170716_0_L2A;S2B_30TXT_20170716_0_L2A,1.0,0.0016,0.9984,0.0254,0.0898,otsu,0.601,0.0152,6299.3,824.2,0.1311,249.5,916.6,868.4,-0.2489,0.4419,0.5038,0.9838,ok,2026-09-03T14:58:51+00:00
grand-lieu,2017-08-02,2,S2B_30TWT_20170802_0_L2A;S2B_30TXT_20170802_0_L2A,1.0,0.0372,0.9628,0.0345,0.0898,otsu,0.707,0.0233,6299.3,913.7,0.1507,218.8,951.5,1157.0,-0.1898,0.361,0.4137,0.9681,ok,2026-09-03T14:58:51+00:00
grand-lieu,2017-08-05,2,S2B_30TWT_20170805_0_L2A;S2B_30TXT_20170805_0_L2A,1.0,0.2432,0.7568,0.0423,-0.0977,otsu,0.987,0.035,6299.3,544.9,0.1143,618.0,504.1,1013.9,-0.1289,0.243,0.3229,0.7539,nublado,2026-09-03T14:58:51+00:00
grand-lieu,2017-08-07,2,S2A_30TWT_20170807_0_L2A;S2A_30TXT_20170807_0_L2A,1.0,0.3842,0.6158,0.0294,-0.2305,otsu,1.382,0.0098,6299.3,28.7,0.0074,972.1,28.1,518.6,-0.1196,0.2651,0.4286,0.6248,nublado,2026-09-03T14:58:51+00:00
grand-lieu,2017-08-25,1,S2B_30TWT_20170825_0_L2A,1.0,0.9882,0.0118,0.197,-0.1133,otsu,,,6299.3,0.6,0.0081,24.5,0.0,0.0,-0.0732,0.075,0.0913,0.0,nublado,2026-09-03T14:58:51+00:00
grand-lieu,2017-09-01,1,S2B_30TWT_20170901_0_L2A,1.0,0.2501,0.7499,0.0429,0.0977,otsu,0.992,0.034,6299.3,459.9,0.0974,743.2,632.8,1282.2,-0.177,0.2826,0.3752,0.8053,nublado,2026-09-03T14:58:51+00:00
grand-lieu,2017-09-11,2,S2B_30TWT_20170911_0_L2A;S2B_30TXT_20170911_0_L2A,1.0,0.2194,0.7806,0.0431,0.0508,otsu,1.099,0.0349,6299.3,64.3,0.0131,998.3,90.0,348.9,-0.1619,0.2881,0.33,0.9422,nublado,2026-09-03T14:58:51+00:00
grand-lieu,2017-10-04,4,S2B_30TWT_20171004_0_L2A;S2B_30TWT_20171004_1_L2A;S2B_30TXT_20171004_0_L2A;S2B_30TXT_20171004_1_L2A,1.0,0.0279,0.9721,0.0286,-0.1133,otsu,0.917,0.0191,6299.3,56.2,0.0092,1675.1,622.8,754.9,-0.2321,0.3712,0.4232,0.9716,incoherente,2026-09-03T14:58:51+00:00
grand-lieu,2017-10-06,1,S2A_30TXT_20171006_0_L2A,0.5058,0.1678,0.421,0.0316,-0.0195,otsu,0.798,0.0243,6299.3,549.3,0.2071,438.7,649.8,1034.7,-0.2194,0.3299,0.3809,0.9663,parcial,2026-09-03T14:58:51+00:00
grand-lieu,2017-10-11,1,S2B_30TXT_20171011_0_L2A,0.5058,0.9231,0.0402,0.133,-0.0039,otsu,1.026,0.1322,6299.3,49.0,0.1935,32.8,51.9,84.0,-0.1048,0.0642,0.0972,0.0,parcial,2026-09-03T14:58:51+00:00
grand-lieu,2017-10-14,2,S2B_30TWT_20171014_0_L2A;S2B_30TXT_20171014_0_L2A,1.0,0.0047,0.9953,0.0261,-0.0586,otsu,0.824,0.0208,6299.3,846.3,0.135,1039.5,985.3,1581.1,-0.2085,0.3369,0.365,0.9993,ok,2026-09-03T14:59:11+00:00
grand-lieu,2017-10-21,2,S2B_30TWT_20171021_0_L2A;S2B_30TXT_20171021_0_L2A,1.0,0.3234,0.6766,0.0342,-0.0039,otsu,1.047,0.031,6299.3,460.6,0.1081,1034.8,193.2,1148.7,-0.1184,0.2673,0.2955,0.9867,nublado,2026-09-03T14:59:11+00:00
grand-lieu,2017-11-13,2,S2B_30TWT_20171113_0_L2A;S2B_30TXT_20171113_0_L2A,1.0,0.0105,0.9895,0.0158,0.0898,otsu,0.647,0.0082,6299.3,936.1,0.1502,998.5,1378.9,1672.3,-0.3327,0.4469,0.5,0.9999,ok,2026-09-03T14:59:11+00:00
grand-lieu,2017-11-23,2,S2B_30TWT_20171123_0_L2A;S2B_30TXT_20171123_0_L2A,1.0,0.769,0.231,0.1063,-0.1758,otsu,0.994,0.131,6299.3,208.0,0.1429,375.6,108.0,146.7,-0.0404,0.0707,0.1035,0.0,nublado,2026-09-03T14:59:11+00:00
grand-lieu,2017-12-20,1,S2B_30TWT_20171220_0_L2A,1.0,0.9979,0.0021,0.1676,0.0,fijo,,,6299.3,12.0,0.9094,0.5,4.2,3.8,-0.0648,0.0608,0.0801,0.0,nublado,2026-09-03T14:59:11+00:00
grand-lieu,2018-02-23,2,S2A_30TWT_20180223_0_L2A;S2A_30TXT_20180223_0_L2A,1.0,0.0,1.0,0.0288,0.1992,otsu,0.587,0.0278,6299.3,3454.1,0.5483,115.5,3375.5,3784.0,-0.1138,0.1605,0.2468,0.3623,ok,2026-09-03T14:59:11+00:00
grand-lieu,2018-03-20,4,S2B_30TWT_20180320_0_L2A;S2B_30TWT_20180320_1_L2A;S2B_30TXT_20180320_0_L2A;S2B_30TXT_20180320_1_L2A,1.0,0.0188,0.9812,0.0202,0.0898,otsu,0.872,0.0177,6299.3,2397.0,0.3878,731.3,1391.8,3170.4,-0.0521,0.2545,0.3279,0.8181,ok,2026-09-03T14:59:11+00:00
grand-lieu,2018-03-30,3,S2B_30TWT_20180330_0_L2A;S2B_30TWT_20180330_1_L2A;S2B_30TXT_20180330_0_L2A,1.0,0.4819,0.5181,0.0227,0.0586,otsu,0.924,0.0146,6299.3,1236.9,0.379,319.4,979.0,1761.2,0.0101,0.186,0.2828,0.5428,nublado,2026-09-03T14:59:11+00:00
grand-lieu,2018-04-17,2,S2A_30TWT_20180417_0_L2A;S2A_30TXT_20180417_0_L2A,1.0,0.0346,0.9654,0.0183,-0.0117,otsu,0.821,0.0171,6299.3,2083.1,0.3425,936.0,1889.6,2297.7,-0.0669,0.1552,0.2508,0.2759,ok,2026-09-03T14:59:11+00:00
grand-lieu,2018-04-19,4,S2B_30TWT_20180419_0_L2A;S2B_30TWT_20180419_1_L2A;S2B_30TXT_20180419_0_L2A;S2B_30TXT_20180419_1_L2A,1.0,0.0374,0.9626,0.0121,0.0742,otsu,0.774,0.0085,6299.3,1955.2,0.3224,555.2,1782.0,2192.8,-0.0474,0.1585,0.2946,0.3258,ok,2026-09-03T14:59:11+00:00
grand-lieu,2018-04-22,2,S2B_30TWT_20180422_0_L2A;S2B_30TXT_20180422_0_L2A,1.0,0.0932,0.9068,0.0385,-0.168,otsu,1.245,0.0418,6299.3,679.4,0.1189,2581.3,0.5,2.6,0.0091,0.1057,0.1618,0.0136,espectro_anomalo,2026-09-03T14:59:11+00:00
grand-lieu,2018-04-24,2,S2A_30TWT_20180424_0_L2A;S2A_30TXT_20180424_0_L2A,1.0,0.5074,0.4926,0.0329,0.1211,otsu,0.602,0.0186,6299.3,855.6,0.2757,87.3,878.6,861.2,-0.0493,0.02,0.1087,0.0036,nublado,2026-09-03T14:59:11+00:00
grand-lieu,2018-05-04,2,S2A_30TWT_20180504_0_L2A;S2A_30TXT_20180504_0_L2A,1.0,0.007,0.993,0.0142,0.0195,otsu,0.657,0.0091,6299.3,1162.2,0.1858,803.3,1079.9,1267.0,-0.0165,0.0858,0.2103,0.112,ok,2026-09-03T14:59:34+00:00
grand-lieu,2018-05-07,2,S2A_30TWT_20180507_0_L2A;S2A_30TXT_20180507_0_L2A,1.0,0.2809,0.7191,0.0296,-0.0352,otsu,0.673,0.0281,6299.3,840.5,0.1855,819.8,757.7,718.3,-0.0654,0.0852,0.1544,0.0242,nublado,2026-09-03T14:59:34+00:00
grand-lieu,2018-05-09,2,S2B_30TWT_20180509_0_L2A;S2B_30TXT_20180509_0_L2A,1.0,0.9776,0.0224,0.0356,0.0,fijo,,,6299.3,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T14:59:34+00:00
grand-lieu,2018-05-17,1,S2A_30TWT_20180517_0_L2A,1.0,0.9999,0.0001,0.2148,0.0,fijo,,,6299.3,0.0,0.0,0.4,0.0,0.0,,,,,nublado,2026-09-03T14:59:34+00:00
