site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
lac-du-der,2017-07-07,1,S2B_31UFP_20170707_0_L2A,1.0,0.9712,0.0288,0.0588,-0.1055,otsu,,,6126.8,15.0,0.0849,24.2,17.0,0.0,-0.1995,0.0405,0.0741,0.0027,nublado,2026-09-03T14:46:25+00:00
lac-du-der,2017-07-17,1,S2B_31UFP_20170717_0_L2A,0.9999,0.0105,0.9895,0.0328,0.1211,otsu,0.221,0.0324,6126.8,3659.2,0.6036,219.4,3751.2,3654.2,-0.4755,-0.0533,-0.005,0.0037,ok,2026-09-03T14:46:25+00:00
lac-du-der,2017-08-04,1,S2A_31UFP_20170804_0_L2A,1.0,0.5665,0.4335,0.0549,-0.043,otsu,0.454,0.0391,6126.8,950.8,0.358,199.8,1009.9,430.0,-0.197,-0.0044,0.0517,0.0051,nublado,2026-09-03T14:46:25+00:00
lac-du-der,2017-08-06,1,S2B_31UFP_20170806_0_L2A,0.9998,0.0216,0.9782,0.0324,0.1445,otsu,0.216,0.0328,6126.8,3577.6,0.597,154.0,3661.8,3588.8,-0.4257,-0.0693,0.0252,0.0054,ok,2026-09-03T14:46:25+00:00
lac-du-der,2017-08-19,1,S2B_31UFP_20170819_0_L2A,1.0,0.4724,0.5276,0.0568,0.1133,otsu,0.372,0.0557,6126.8,1622.7,0.502,141.8,1757.6,1577.6,-0.2672,-0.0309,0.0269,0.0006,nublado,2026-09-03T14:46:25+00:00
lac-du-der,2017-08-26,1,S2B_31UFP_20170826_0_L2A,1.0,0.202,0.798,0.0699,0.1289,otsu,0.606,0.0845,6126.8,2549.7,0.5215,197.6,2644.4,169.7,-0.2028,0.0343,0.0655,0.0019,nublado,2026-09-03T14:46:25+00:00
lac-du-der,2017-08-29,1,S2B_31UFP_20170829_0_L2A,1.0,0.0922,0.9078,0.0409,0.0273,otsu,0.868,0.0418,6126.8,771.4,0.1387,2434.2,3025.2,3203.6,-0.2591,0.0641,0.1373,0.0018,incoherente,2026-09-03T14:46:25+00:00
lac-du-der,2017-09-25,1,S2B_31UFP_20170925_0_L2A,1.0,0.5202,0.4798,0.0343,0.0195,otsu,0.471,0.0345,6126.8,1008.2,0.3429,87.6,1065.8,810.7,-0.2647,0.0325,0.1125,0.0016,nublado,2026-09-03T14:46:25+00:00
lac-du-der,2017-09-28,1,S2B_31UFP_20170928_0_L2A,1.0,0.2484,0.7516,0.0433,0.1914,otsu,0.379,0.0397,6126.8,2036.6,0.4423,85.2,2448.3,2967.4,-0.3658,-0.0529,0.0436,0.0006,nublado,2026-09-03T14:46:25+00:00
lac-du-der,2017-10-05,1,S2B_31UFP_20171005_0_L2A,1.0,1.0,0.0,,0.0,fijo,,,6126.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-03T14:46:25+00:00
lac-du-der,2017-10-15,1,S2B_31UFP_20171015_0_L2A,1.0,0.0109,0.9891,0.0368,0.1523,otsu,0.236,0.036,6126.8,2625.4,0.4332,7.4,2675.0,2560.1,-0.3632,-0.0353,0.0806,0.0121,ok,2026-09-03T14:46:25+00:00
lac-du-der,2017-10-18,1,S2B_31UFP_20171018_0_L2A,1.0,0.0081,0.9919,0.0387,0.1211,otsu,0.308,0.038,6126.8,2519.7,0.4146,10.6,2568.1,2421.4,-0.3218,-0.01,0.0909,0.0146,ok,2026-09-03T14:46:25+00:00
lac-du-der,2017-11-04,1,S2B_31UFP_20171104_0_L2A,1.0,0.4339,0.5661,0.0551,0.0195,otsu,0.475,0.0602,6126.8,1110.0,0.32,13.5,1097.4,974.8,-0.1938,0.0437,0.1042,0.0089,nublado,2026-09-03T14:46:35+00:00
lac-du-der,2017-12-07,1,S2B_31UFP_20171207_0_L2A,1.0,0.4137,0.5863,0.0692,0.0977,otsu,0.343,0.0677,6126.8,1089.5,0.3033,2.5,1219.3,1001.7,-0.203,-0.0179,0.0514,0.0116,nublado,2026-09-03T14:46:35+00:00
