site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
mar-menor,2017-07-10,2,S2B_30SXG_20170710_0_L2A;S2B_30SYG_20170710_0_L2A,1.0,0.0025,0.9975,0.0674,13582.8,13336.4,0.9844,0.4,13389.0,13400.4,-0.1326,-0.0097,0.0149,0.0003,ok,2026-09-02T12:59:06+00:00
mar-menor,2017-07-15,2,S2A_30SXG_20170715_0_L2A;S2A_30SYG_20170715_0_L2A,1.0,0.3221,0.6779,0.0832,13582.8,8520.8,0.9254,0.9,9095.1,1406.4,-0.1186,-0.0047,0.0183,0.0002,nublado,2026-09-02T12:59:06+00:00
mar-menor,2017-07-20,2,S2B_30SXG_20170720_0_L2A;S2B_30SYG_20170720_0_L2A,1.0,0.0026,0.9974,0.0682,13582.8,13345.6,0.9851,0.6,13393.7,13396.8,-0.1428,-0.0108,0.0105,0.0003,ok,2026-09-02T12:59:06+00:00
mar-menor,2017-07-25,2,S2A_30SXG_20170725_0_L2A;S2A_30SYG_20170725_0_L2A,1.0,0.144,0.856,0.0589,13582.8,11431.8,0.9832,1.5,11486.6,414.3,-0.161,-0.0073,0.014,0.0011,ok,2026-09-02T12:59:06+00:00
mar-menor,2017-07-30,2,S2B_30SXG_20170730_0_L2A;S2B_30SYG_20170730_0_L2A,1.0,0.0016,0.9984,0.0595,13582.8,13344.8,0.9841,1.1,13394.5,13410.2,-0.1627,-0.0155,0.0103,0.0009,ok,2026-09-02T12:59:06+00:00
mar-menor,2017-08-09,2,S2B_30SXG_20170809_0_L2A;S2B_30SYG_20170809_0_L2A,1.0,0.0027,0.9973,0.0558,13582.8,13351.0,0.9856,0.3,13399.7,13400.2,-0.1571,-0.0096,0.0122,0.0001,ok,2026-09-02T12:59:06+00:00
mar-menor,2017-08-14,1,S2A_30SYG_20170814_0_L2A,0.0211,0.3027,0.0147,0.0747,13582.8,182.6,0.9145,0.0,187.9,2.9,-0.0481,-0.0219,-0.0036,0.0,sin_datos,2026-09-02T12:59:06+00:00
mar-menor,2017-08-19,1,S2B_30SXG_20170819_0_L2A,1.0,0.3475,0.6525,0.0508,13582.8,8658.8,0.977,0.5,8779.3,5097.7,-0.2114,-0.017,0.0142,0.0007,nublado,2026-09-02T12:59:06+00:00
mar-menor,2017-08-29,1,S2B_30SYG_20170829_0_L2A,0.0211,0.5939,0.0086,0.0871,13582.8,106.4,0.915,3.4,112.5,111.0,-0.1244,-0.0378,0.0205,0.0,sin_datos,2026-09-02T12:59:06+00:00
mar-menor,2017-09-08,2,S2B_30SXG_20170908_0_L2A;S2B_30SYG_20170908_0_L2A,1.0,0.8378,0.1622,0.0981,13582.8,2119.3,0.9617,1.0,2121.5,2108.7,-0.1337,-0.0104,-0.0007,0.0,nublado,2026-09-02T12:59:51+00:00
mar-menor,2017-09-28,2,S2B_30SXG_20170928_0_L2A;S2B_30SYG_20170928_0_L2A,1.0,0.5524,0.4476,0.0348,13582.8,5792.7,0.9528,92.1,6026.6,4762.9,-0.2828,-0.038,0.0304,0.0009,nublado,2026-09-02T12:59:51+00:00
mar-menor,2017-10-03,1,S2A_30SYG_20171003_0_L2A,0.0211,0.0077,0.0209,0.009,13582.8,260.0,0.9148,0.9,267.1,268.2,-0.5658,-0.0676,0.2424,0.1169,sin_datos,2026-09-02T12:59:06+00:00
mar-menor,2017-10-08,2,S2B_30SXG_20171008_0_L2A;S2B_30SYG_20171008_0_L2A,1.0,0.0029,0.9971,0.0166,13582.8,13268.1,0.9797,11.2,13352.0,13409.7,-0.4772,-0.1091,-0.0242,0.0101,ok,2026-09-02T12:59:06+00:00
mar-menor,2017-10-28,2,S2B_30SXG_20171028_0_L2A;S2B_30SYG_20171028_0_L2A,1.0,0.1069,0.8931,0.028,13582.8,11604.6,0.9566,19.0,11991.8,11105.5,-0.4147,-0.1511,-0.0367,0.0042,ok,2026-09-02T12:59:06+00:00
mar-menor,2017-11-07,2,S2B_30SXG_20171107_0_L2A;S2B_30SYG_20171107_0_L2A,1.0,0.0019,0.9981,0.0077,13582.8,13329.5,0.9832,9.6,13375.6,13427.0,-0.4764,-0.2281,-0.0169,0.0091,ok,2026-09-02T12:59:51+00:00
mar-menor,2017-11-17,2,S2B_30SXG_20171117_0_L2A;S2B_30SYG_20171117_0_L2A,1.0,0.0018,0.9982,0.0212,13582.8,13365.2,0.9857,3.7,13397.7,13431.1,-0.4116,-0.1152,-0.0476,0.0031,ok,2026-09-02T12:59:51+00:00
mar-menor,2017-11-27,2,S2B_30SYG_20171127_0_L2A;S2B_30SYG_20171127_1_L2A,0.0211,0.5857,0.0087,0.0883,13582.8,102.7,0.8655,0.6,108.4,21.5,-0.0953,-0.0064,0.0244,0.0,sin_datos,2026-09-02T12:59:51+00:00
mar-menor,2017-12-07,2,S2B_30SXG_20171207_0_L2A;S2B_30SYG_20171207_0_L2A,1.0,0.0332,0.9668,0.0261,13582.8,12736.7,0.9699,16.3,12952.3,13010.1,-0.3647,-0.1107,-0.0237,0.0023,ok,2026-09-02T12:59:51+00:00
mar-menor,2017-12-17,2,S2B_30SXG_20171217_0_L2A;S2B_30SYG_20171217_0_L2A,1.0,0.0039,0.9961,0.0286,13582.8,13357.3,0.9872,8.0,13370.7,13291.8,-0.3843,-0.1477,-0.0787,0.0017,ok,2026-09-02T12:59:51+00:00
mar-menor,2018-02-25,2,S2B_30SXG_20180225_0_L2A;S2B_30SYG_20180225_0_L2A,1.0,0.0081,0.9919,0.0381,13582.8,13273.6,0.9852,9.0,13328.7,12792.6,-0.3957,-0.0429,0.0027,0.0004,ok,2026-09-02T12:59:51+00:00
mar-menor,2018-03-27,2,S2B_30SXG_20180327_0_L2A;S2B_30SYG_20180327_0_L2A,1.0,0.004,0.996,0.0246,13582.8,13351.8,0.9869,3.2,13389.8,13286.7,-0.6361,-0.2473,-0.0407,0.0024,ok,2026-09-02T12:59:51+00:00
