site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
marais-poitevin,2017-07-16,1,S2B_30TXS_20170716_0_L2A,0.5165,0.0013,0.5158,0.0644,0.0,fijo,0.394,0.0626,60526.8,257.4,0.0082,78.0,268.7,51.7,-0.0841,0.06,0.1691,0.0516,parcial,2026-09-03T17:44:51+00:00
marais-poitevin,2017-08-02,1,S2B_30TXS_20170802_0_L2A,1.0,0.07,0.93,0.0622,0.0,fijo,0.267,0.0767,60526.8,312.6,0.0056,118.4,332.8,177.8,-0.1128,0.0687,0.1988,0.0992,ok,2026-09-03T17:44:51+00:00
marais-poitevin,2017-08-05,1,S2B_30TXS_20170805_0_L2A,0.5169,0.5173,0.2498,0.0599,0.0,fijo,1.309,0.0683,60526.8,30.4,0.002,75.0,36.3,37.3,-0.0845,0.0581,0.1243,0.0132,parcial,2026-09-03T17:44:51+00:00
marais-poitevin,2017-08-07,1,S2A_30TXS_20170807_0_L2A,1.0,0.4097,0.5903,0.0755,0.0,fijo,0.484,0.045,60526.8,75.6,0.0021,108.2,84.7,21.4,-0.1169,0.0986,0.216,0.1281,nublado,2026-09-03T17:44:51+00:00
marais-poitevin,2017-08-25,1,S2B_30TXS_20170825_0_L2A,0.5185,0.0058,0.5155,0.0867,0.0,fijo,0.609,0.0805,60526.8,210.5,0.0067,271.6,123.3,21.3,-0.0589,0.0899,0.1433,0.0179,parcial,2026-09-03T17:44:51+00:00
marais-poitevin,2017-10-04,1,S2B_30TXS_20171004_0_L2A,0.5727,0.0052,0.5698,0.0478,0.0,fijo,0.561,0.0772,60526.8,220.9,0.0064,158.1,142.2,95.4,-0.0668,0.0788,0.219,0.1235,parcial,2026-09-03T17:44:51+00:00
marais-poitevin,2017-10-11,1,S2B_30TXS_20171011_0_L2A,1.0,0.0008,0.9992,0.0488,0.0,fijo,0.557,0.0813,60526.8,344.6,0.0057,209.1,296.6,191.4,-0.0775,0.0682,0.1723,0.0608,ok,2026-09-03T17:44:51+00:00
marais-poitevin,2017-10-14,1,S2B_30TXS_20171014_0_L2A,0.5664,0.0017,0.5654,0.0567,0.0,fijo,0.36,0.0977,60526.8,348.7,0.0102,146.5,319.4,164.6,-0.0811,0.0546,0.1606,0.049,parcial,2026-09-03T17:44:51+00:00
marais-poitevin,2017-10-21,1,S2B_30TXS_20171021_0_L2A,1.0,0.2281,0.7719,0.0541,0.0,fijo,0.469,0.0869,60526.8,177.5,0.0038,131.4,108.1,63.2,-0.0581,0.062,0.1341,0.0311,nublado,2026-09-03T17:44:51+00:00
marais-poitevin,2017-10-31,1,S2B_30TXS_20171031_0_L2A,1.0,0.1477,0.8523,0.0495,0.0,fijo,0.638,0.0942,60526.8,274.0,0.0053,127.1,216.6,111.4,-0.0505,0.055,0.1516,0.0476,ok,2026-09-03T17:44:51+00:00
marais-poitevin,2017-11-13,1,S2B_30TXS_20171113_0_L2A,0.5617,0.0031,0.5599,0.0441,0.0,fijo,0.445,0.0916,60526.8,349.1,0.0103,107.1,319.8,214.4,-0.0771,0.0469,0.1759,0.0833,parcial,2026-09-03T17:44:51+00:00
marais-poitevin,2017-11-23,1,S2B_30TXS_20171123_0_L2A,0.5487,0.3086,0.3794,0.0682,0.0,fijo,0.914,0.0899,60526.8,143.3,0.0062,23.6,94.5,69.8,-0.0119,0.0782,0.188,0.0826,parcial,2026-09-03T17:44:51+00:00
marais-poitevin,2018-02-23,1,S2A_30TXS_20180223_0_L2A,1.0,0.0028,0.9972,0.0407,0.0,fijo,0.508,0.0507,60526.8,609.9,0.0101,967.2,583.7,568.0,-0.0975,0.0716,0.2786,0.1622,ok,2026-09-03T17:46:05+00:00
marais-poitevin,2018-03-20,2,S2B_30TXS_20180320_0_L2A;S2B_30TXS_20180320_1_L2A,1.0,0.008,0.992,0.0403,0.0,fijo,0.685,0.0504,60526.8,533.2,0.0089,962.2,440.3,349.1,-0.0539,0.0835,0.2134,0.1187,ok,2026-09-03T17:46:05+00:00
marais-poitevin,2018-03-30,2,S2B_30TXS_20180330_0_L2A;S2B_30TXS_20180330_1_L2A,1.0,0.4219,0.5781,0.0368,0.0,fijo,0.745,0.0536,60526.8,352.3,0.0101,726.8,249.4,221.6,-0.0259,0.091,0.2275,0.1611,nublado,2026-09-03T17:46:05+00:00
marais-poitevin,2018-04-17,1,S2A_30TXS_20180417_0_L2A,0.5277,0.003,0.5261,0.027,0.0,fijo,0.671,0.0809,60526.8,291.4,0.0092,425.4,212.5,112.8,-0.0427,0.0848,0.1834,0.0799,parcial,2026-09-03T17:46:05+00:00
marais-poitevin,2018-04-19,2,S2B_30TXS_20180419_0_L2A;S2B_30TXS_20180419_1_L2A,1.0,0.0024,0.9976,0.029,0.0,fijo,0.665,0.0764,60526.8,350.1,0.0058,389.8,265.0,171.4,-0.0517,0.0796,0.1774,0.0714,ok,2026-09-03T17:46:05+00:00
