site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,mndwi_thr,thr_method,water_nir_green,water_blue,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
tablas-daimiel,2017-07-03,1,S2B_30SVJ_20170703_0_L2A,1.0,0.0067,0.9933,0.0431,-0.0977,otsu,0.376,0.0124,3100.1,257.6,0.0837,19.5,321.6,261.7,-0.0201,0.1544,0.224,0.18,ok,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-07-13,1,S2B_30SVJ_20170713_0_L2A,1.0,0.4755,0.5245,0.0748,-0.293,otsu,1.262,0.0435,3100.1,134.8,0.0829,206.0,23.0,38.8,0.0285,0.11,0.1408,0.0009,nublado,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-07-23,1,S2B_30SVJ_20170723_0_L2A,1.0,0.0097,0.9903,0.0526,0.0039,otsu,0.497,0.0163,3100.1,325.1,0.1059,26.5,317.8,300.6,-0.0598,0.1582,0.1976,0.0848,ok,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-08-02,1,S2B_30SVJ_20170802_0_L2A,1.0,0.0132,0.9868,0.0521,0.0195,otsu,0.349,0.0104,3100.1,251.8,0.0823,12.5,295.7,285.4,-0.0943,0.2281,0.3061,0.7549,ok,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-08-07,1,S2A_30SVJ_20170807_0_L2A,1.0,0.0112,0.9888,0.0572,-0.1602,otsu,1.022,0.0209,3100.1,258.1,0.0842,42.6,158.3,82.9,-0.0452,0.1855,0.2372,0.512,ok,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-08-12,1,S2B_30SVJ_20170812_0_L2A,1.0,0.0119,0.9881,0.0473,0.0742,otsu,0.124,0.0035,3100.1,229.1,0.0748,9.0,268.9,276.6,-0.1086,0.2855,0.3568,0.8662,ok,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-08-22,1,S2B_30SVJ_20170822_0_L2A,1.0,0.0077,0.9923,0.0572,-0.0742,otsu,0.309,0.0179,3100.1,265.4,0.0863,25.3,235.2,63.0,-0.0726,0.2103,0.2827,0.6387,ok,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-09-01,1,S2B_30SVJ_20170901_0_L2A,1.0,0.0151,0.9849,0.0623,-0.0195,otsu,0.344,0.0218,3100.1,300.8,0.0985,33.1,260.9,239.7,-0.0937,0.2016,0.31,0.5557,ok,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-09-11,1,S2B_30SVJ_20170911_0_L2A,1.0,0.0142,0.9858,0.0496,0.0742,otsu,0.044,0.0001,3100.1,166.5,0.0545,15.8,214.2,241.4,-0.1622,0.3097,0.3877,0.8611,espectro_anomalo,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-09-26,1,S2A_30SVJ_20170926_0_L2A,1.0,0.0388,0.9612,0.0607,-0.043,otsu,0.528,0.0131,3100.1,235.7,0.0791,15.4,228.4,183.0,-0.0866,0.1637,0.2605,0.4917,ok,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-10-11,1,S2B_30SVJ_20171011_0_L2A,1.0,0.0129,0.9871,0.0658,-0.0195,otsu,0.465,0.0193,3100.1,236.8,0.0774,20.8,218.3,185.5,-0.0826,0.1594,0.2523,0.4337,ok,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-10-31,1,S2B_30SVJ_20171031_0_L2A,1.0,0.0374,0.9626,0.0618,-0.0508,otsu,0.692,0.0143,3100.1,220.7,0.074,16.4,200.2,184.7,-0.0767,0.1646,0.2379,0.4273,ok,2026-09-03T06:57:48+00:00
tablas-daimiel,2017-11-10,1,S2B_30SVJ_20171110_0_L2A,1.0,0.036,0.964,0.0559,-0.0586,otsu,0.624,0.0087,3100.1,200.3,0.067,6.4,194.6,190.7,-0.0633,0.1627,0.2282,0.3728,ok,2026-09-03T06:57:57+00:00
tablas-daimiel,2017-11-20,1,S2B_30SVJ_20171120_0_L2A,1.0,0.0378,0.9622,0.0552,-0.0586,otsu,0.605,0.0076,3100.1,198.9,0.0667,6.6,192.2,186.2,-0.07,0.1333,0.2208,0.2455,ok,2026-09-03T06:57:57+00:00
tablas-daimiel,2017-11-30,1,S2B_30SVJ_20171130_0_L2A,1.0,0.0202,0.9798,0.0497,-0.0508,otsu,0.801,0.0073,3100.1,177.1,0.0583,18.2,184.4,205.4,-0.0292,0.1783,0.2816,0.2938,ok,2026-09-03T06:57:57+00:00
tablas-daimiel,2017-12-20,1,S2B_30SVJ_20171220_0_L2A,1.0,0.0178,0.9822,0.0562,-0.0352,otsu,0.386,0.0135,3100.1,205.9,0.0676,16.3,192.2,205.3,-0.1233,0.2515,0.4099,0.6422,ok,2026-09-03T06:57:57+00:00
tablas-daimiel,2018-02-23,1,S2A_30SVJ_20180223_0_L2A,1.0,0.0086,0.9914,0.053,-0.1055,otsu,0.33,0.0132,3100.1,245.1,0.0798,54.2,254.0,242.6,-0.1092,0.1489,0.2391,0.2652,ok,2026-09-03T06:57:57+00:00
tablas-daimiel,2018-03-20,1,S2B_30SVJ_20180320_0_L2A,1.0,0.2711,0.7289,0.0552,-0.043,otsu,0.453,0.0226,3100.1,201.4,0.0891,5.6,214.8,203.2,-0.1218,0.1496,0.2201,0.1857,nublado,2026-09-03T06:57:57+00:00
tablas-daimiel,2018-03-30,2,S2B_30SVJ_20180330_0_L2A;S2B_30SVJ_20180330_1_L2A,1.0,0.2791,0.7209,0.0641,-0.1836,otsu,0.678,0.0156,3100.1,194.3,0.0869,71.0,174.1,162.6,-0.0781,0.0916,0.1968,0.0894,nublado,2026-09-03T06:57:57+00:00
tablas-daimiel,2018-04-04,1,S2A_30SVJ_20180404_0_L2A,1.0,0.1569,0.8431,0.0615,-0.0977,otsu,0.27,0.0146,3100.1,246.5,0.0943,12.2,336.0,238.4,-0.0952,0.1273,0.2279,0.187,ok,2026-09-03T06:57:57+00:00
tablas-daimiel,2018-04-14,1,S2A_30SVJ_20180414_1_L2A,1.0,0.2765,0.7235,0.0613,-0.0195,otsu,0.306,0.0145,3100.1,210.0,0.0937,2.5,298.6,234.0,-0.1446,0.0523,0.1536,0.0166,nublado,2026-09-03T06:57:57+00:00
tablas-daimiel,2018-04-19,2,S2B_30SVJ_20180419_0_L2A;S2B_30SVJ_20180419_1_L2A,1.0,0.0007,0.9993,0.0555,-0.1602,otsu,0.512,0.0196,3100.1,370.6,0.1196,17.4,350.0,174.7,-0.0215,0.0734,0.1793,0.0314,ok,2026-09-03T06:57:57+00:00
tablas-daimiel,2018-04-29,1,S2B_30SVJ_20180429_0_L2A,1.0,0.7136,0.2864,0.0902,-0.2773,otsu,1.254,0.1048,3100.1,108.1,0.1217,219.4,22.1,6.9,0.0339,0.0542,0.0948,0.0007,nublado,2026-09-03T06:57:57+00:00
tablas-daimiel,2018-05-04,1,S2A_30SVJ_20180504_0_L2A,1.0,0.0007,0.9993,0.047,-0.082,otsu,0.351,0.0072,3100.1,254.8,0.0822,8.4,338.4,232.6,-0.0052,0.0558,0.2015,0.1024,ok,2026-09-03T06:57:57+00:00
tablas-daimiel,2018-05-09,1,S2B_30SVJ_20180509_0_L2A,1.0,0.0796,0.9204,0.0672,-0.0586,otsu,0.429,0.0394,3100.1,368.6,0.1292,11.0,364.2,212.4,-0.0442,0.0643,0.1796,0.066,ok,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-05-14,1,S2A_30SVJ_20180514_0_L2A,1.0,0.7657,0.2343,0.0883,0.0,fijo,,,3100.1,19.2,0.0264,1.4,29.5,8.1,-0.1399,-0.0132,0.0326,0.0,nublado,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-05-19,1,S2B_30SVJ_20180519_0_L2A,1.0,0.1751,0.8249,0.0852,0.0,fijo,0.533,0.049,3100.1,77.7,0.0304,17.2,83.7,20.2,-0.011,0.0883,0.1493,0.0118,ok,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-05-24,1,S2A_30SVJ_20180524_0_L2A,1.0,0.0008,0.9992,0.0555,-0.1992,otsu,0.58,0.0427,3100.1,235.0,0.0759,30.9,235.5,0.0,-0.0129,0.0928,0.1615,0.0317,ok,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-06-03,2,S2A_30SVJ_20180603_0_L2A;S2A_30SVJ_20180603_1_L2A,1.0,0.109,0.891,0.0587,-0.043,otsu,0.487,0.0193,3100.1,291.1,0.1054,12.4,347.9,267.7,-0.0726,0.1087,0.1773,0.0528,ok,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-06-13,2,S2A_30SVJ_20180613_0_L2A;S2A_30SVJ_20180613_1_L2A,1.0,0.1554,0.8446,0.0562,0.0,fijo,0.494,0.0047,3100.1,46.8,0.0179,3.5,128.7,81.0,-0.0931,0.1454,0.2254,0.2977,ok,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-06-18,2,S2B_30SVJ_20180618_0_L2A;S2B_30SVJ_20180618_1_L2A,1.0,0.6547,0.3453,0.0627,-0.2852,otsu,1.068,0.0337,3100.1,66.4,0.062,24.5,32.9,0.0,0.0153,0.1219,0.1698,0.006,nublado,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-06-23,2,S2A_30SVJ_20180623_0_L2A;S2A_30SVJ_20180623_1_L2A,1.0,0.0008,0.9992,0.0587,-0.207,otsu,0.724,0.0293,3100.1,296.7,0.0958,45.4,172.8,0.0,-0.0277,0.1533,0.1938,0.051,ok,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-06-28,1,S2B_30SVJ_20180628_0_L2A,1.0,0.5294,0.4706,0.0632,-0.3164,otsu,1.055,0.0325,3100.1,70.8,0.0485,144.0,43.7,0.2,0.0011,0.1401,0.2038,0.109,nublado,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-07-03,2,S2A_30SVJ_20180703_0_L2A;S2A_30SVJ_20180703_1_L2A,1.0,0.0013,0.9987,0.0466,-0.0586,otsu,0.122,0.0019,3100.1,246.6,0.0796,13.5,328.0,248.6,-0.1058,0.2791,0.4604,0.7975,espectro_anomalo,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-07-08,2,S2B_30SVJ_20180708_0_L2A;S2B_30SVJ_20180708_1_L2A,1.0,0.0011,0.9989,0.0557,0.0117,otsu,0.32,0.0153,3100.1,290.3,0.0937,14.3,340.0,282.1,-0.0806,0.1649,0.2152,0.2363,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-07-13,1,S2A_30SVJ_20180713_0_L2A,1.0,0.0011,0.9989,0.0552,-0.082,otsu,0.304,0.0208,3100.1,297.1,0.0959,25.4,317.6,143.0,-0.0499,0.1353,0.1815,0.0277,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-07-18,2,S2B_30SVJ_20180718_0_L2A;S2B_30SVJ_20180718_1_L2A,1.0,0.0014,0.9986,0.0531,-0.0273,otsu,0.437,0.0111,3100.1,265.3,0.0857,14.0,305.0,254.7,-0.0277,0.1542,0.2106,0.1462,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-07-23,1,S2A_30SVJ_20180723_0_L2A,1.0,0.0015,0.9985,0.0497,-0.043,otsu,0.207,0.0081,3100.1,243.2,0.0786,11.4,294.4,211.2,-0.0257,0.1312,0.191,0.0738,ok,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-07-28,1,S2B_30SVJ_20180728_0_L2A,1.0,0.0021,0.9979,0.05,0.043,otsu,0.097,0.0065,3100.1,222.1,0.0718,7.8,271.2,269.4,-0.0077,0.1449,0.2093,0.1279,ok,2026-09-03T06:58:06+00:00
tablas-daimiel,2018-08-02,2,S2A_30SVJ_20180802_0_L2A;S2A_30SVJ_20180802_1_L2A,1.0,0.001,0.999,0.0642,-0.1992,otsu,0.803,0.0352,3100.1,296.1,0.0956,65.9,134.1,0.0,0.0128,0.1086,0.1505,0.003,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-08-07,2,S2B_30SVJ_20180807_0_L2A;S2B_30SVJ_20180807_1_L2A,1.0,0.0007,0.9993,0.0779,-0.2305,otsu,1.013,0.0543,3100.1,228.4,0.0737,192.9,83.2,0.0,0.0024,0.1198,0.1439,0.0,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-08-12,3,S2A_30SVJ_20180812_0_L2A;S2A_30SVJ_20180812_1_L2A;S2A_30SVJ_20180812_2_L2A,1.0,0.0173,0.9827,0.0613,-0.082,otsu,0.492,0.0296,3100.1,261.0,0.0857,28.3,209.8,0.9,-0.0619,0.1835,0.2391,0.5532,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-08-17,2,S2B_30SVJ_20180817_0_L2A;S2B_30SVJ_20180817_1_L2A,1.0,0.0087,0.9913,0.0638,0.0508,otsu,0.361,0.0342,3100.1,301.8,0.0982,31.2,262.7,225.7,-0.1124,0.1896,0.3051,0.5386,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-08-22,2,S2A_30SVJ_20180822_0_L2A;S2A_30SVJ_20180822_1_L2A,1.0,0.0108,0.9892,0.0641,0.0039,otsu,0.497,0.0396,3100.1,305.3,0.0995,38.6,254.6,142.7,-0.0792,0.1813,0.3054,0.5001,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-08-27,2,S2B_30SVJ_20180827_0_L2A;S2B_30SVJ_20180827_1_L2A,1.0,0.0156,0.9844,0.0555,-0.0195,otsu,0.615,0.0299,3100.1,251.3,0.0824,44.0,207.8,159.8,-0.1062,0.2334,0.3712,0.6215,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-09-01,2,S2A_30SVJ_20180901_0_L2A;S2A_30SVJ_20180901_1_L2A,1.0,0.021,0.979,0.0645,-0.0742,otsu,0.738,0.0382,3100.1,238.8,0.0787,46.7,211.4,0.6,-0.1236,0.2474,0.3873,0.6336,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-09-06,1,S2B_30SVJ_20180906_0_L2A,1.0,0.1508,0.8492,0.0673,0.043,otsu,0.618,0.0309,3100.1,191.9,0.0729,34.8,195.9,137.2,-0.1978,0.3227,0.4505,0.7561,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-09-11,1,S2A_30SVJ_20180911_0_L2A,1.0,0.0409,0.9591,0.0597,-0.0195,otsu,0.739,0.0254,3100.1,200.0,0.0673,41.5,213.5,146.9,-0.1667,0.3224,0.448,0.7468,ok,2026-09-03T06:58:13+00:00
tablas-daimiel,2018-09-16,2,S2B_30SVJ_20180916_0_L2A;S2B_30SVJ_20180916_1_L2A,1.0,0.0246,0.9754,0.055,0.0273,otsu,0.775,0.0253,3100.1,188.7,0.0624,63.3,216.2,184.8,-0.1835,0.3136,0.476,0.6829,ok,2026-09-03T06:58:20+00:00
tablas-daimiel,2018-09-21,2,S2A_30SVJ_20180921_0_L2A;S2A_30SVJ_20180921_1_L2A,1.0,0.0244,0.9756,0.0465,-0.0039,otsu,0.764,0.0199,3100.1,204.8,0.0677,50.4,215.7,169.8,-0.1572,0.3012,0.4636,0.6488,ok,2026-09-03T06:58:25+00:00
tablas-daimiel,2018-09-26,1,S2B_30SVJ_20180926_0_L2A,1.0,0.7488,0.2512,0.1238,0.0586,otsu,0.727,0.0859,3100.1,130.1,0.1671,35.5,122.5,22.8,-0.1396,0.1811,0.3135,0.4673,nublado,2026-09-03T06:58:20+00:00
tablas-daimiel,2018-10-01,2,S2A_30SVJ_20181001_0_L2A;S2A_30SVJ_20181001_1_L2A,1.0,0.0278,0.9722,0.0524,0.0117,otsu,0.882,0.0214,3100.1,97.2,0.0323,135.8,194.0,143.2,-0.1242,0.1879,0.381,0.3529,ok,2026-09-03T06:58:20+00:00
tablas-daimiel,2018-10-06,1,S2B_30SVJ_20181006_0_L2A,1.0,0.0282,0.9718,0.0532,0.0586,otsu,0.863,0.0171,3100.1,104.6,0.0347,109.6,195.2,162.4,-0.1617,0.244,0.447,0.5113,ok,2026-09-03T06:58:20+00:00
tablas-daimiel,2018-10-16,1,S2B_30SVJ_20181016_0_L2A,1.0,0.0106,0.9894,0.0439,0.0742,otsu,1.062,0.0119,3100.1,143.7,0.0468,77.1,192.2,183.6,-0.1721,0.2966,0.4816,0.6194,ok,2026-09-03T06:58:20+00:00
tablas-daimiel,2018-10-21,1,S2A_30SVJ_20181021_1_L2A,1.0,0.6278,0.3722,0.0771,-0.3164,otsu,1.375,0.1026,3100.1,77.5,0.0672,181.8,0.0,7.8,0.046,0.0769,0.1008,0.001,nublado,2026-09-03T06:58:20+00:00
tablas-daimiel,2018-11-15,1,S2B_30SVJ_20181115_0_L2A,1.0,0.4854,0.5146,0.0844,-0.3398,otsu,1.458,0.0961,3100.1,298.9,0.1873,388.7,2.1,31.5,0.0582,0.0793,0.1085,0.0004,nublado,2026-09-03T06:58:20+00:00
tablas-daimiel,2018-11-30,1,S2A_30SVJ_20181130_0_L2A,1.0,0.0313,0.9687,0.0364,-0.043,otsu,0.608,0.0072,3100.1,168.2,0.056,26.4,182.6,192.6,-0.1144,0.3002,0.4121,0.8045,ok,2026-09-03T06:58:20+00:00
tablas-daimiel,2018-12-05,1,S2B_30SVJ_20181205_0_L2A,1.0,0.3734,0.6266,0.0629,-0.1914,otsu,0.702,0.0374,3100.1,139.6,0.0719,25.9,100.7,0.0,-0.0617,0.1812,0.2703,0.4232,nublado,2026-09-03T06:58:20+00:00
tablas-daimiel,2018-12-10,1,S2A_30SVJ_20181210_0_L2A,1.0,0.0376,0.9624,0.042,-0.2852,otsu,0.881,0.0022,3100.1,141.2,0.0473,66.1,120.6,117.2,-0.0419,0.21,0.3127,0.5943,ok,2026-09-03T06:58:20+00:00
